"Fecha hora","Aeropuerto","Tipo Informe","Informe"
"2020-09-01 11:00:00","SKCG","METAR","METAR SKCG 011100Z VRB02KT CAVOK 25/25 A2983="
"2020-09-01 12:00:00","SKCG","METAR","METAR SKCG 011200Z VRB02KT CAVOK 27/26 A2984="
"2020-09-01 13:00:00","SKCG","METAR","METAR SKCG 011300Z 09004KT 020V160 CAVOK 28/26 A2985="
"2020-09-01 14:00:00","SKCG","METAR","METAR SKCG 011400Z 06004KT 350V080 9999 FEW015 31/27 A2986="
"2020-09-01 15:00:00","SKCG","METAR","METAR SKCG 011500Z 01009KT 330V030 9999 FEW015 31/25 A2986="
"2020-09-01 16:00:00","SKCG","METAR","METAR SKCG 011600Z 34008KT 9999 FEW015TCU 31/26 A2985 RMK TCU/SE="
"2020-09-01 17:00:00","SKCG","METAR","METAR SKCG 011700Z 32006KT 300V360 9999 FEW015CB 31/26 A2984 RMK CB/SE="
"2020-09-01 18:00:00","SKCG","METAR","METAR SKCG 011800Z 290V360 9999 6000E VCSH FEW015CB 32/26 A2982 RMK CB/E="
"2020-09-01 19:00:00","SKCG","METAR","METAR SKCG 011900Z 32008KT 300V360 9999 VCSH FEW015CB SCT080 30/25 A2980 RMK CB/E="
"2020-09-01 20:00:00","SKCG","METAR","METAR SKCG 012000Z 35010KT 310V010 9999 FEW015CB SCT090 30/25 A2976 RMK TCU/SE="
"2020-09-01 21:00:00","SKCG","METAR","METAR SKCG 012100Z 33010KT 310V010 9999 FEW016 SCT200 30/25 A2976="
"2020-09-01 22:00:00","SKCG","METAR","METAR SKCG 012200Z 01010KT 340V040 9999 FEW015 SCT200 30/25 A2977="
"2020-09-01 23:00:00","SKCG","METAR","METAR SKCG 012300Z 02007KT 9999 FEW015 BKN200 29/25 A2979="
"2020-09-02 11:00:00","SKCG","METAR","METAR SKCG 021100Z 19011KT 9000 VCSH BKN012 27/26 A2983 RMK VCSH/S="
"2020-09-02 12:00:00","SKCG","METAR","METAR SKCG 021200Z 20011KT 9999 SCT012 BKN080 258/25 A2985="
"2020-09-02 13:00:00","SKCG","METAR","METAR SKCG 021300Z 20013KT 9999  SCT015 BKN080 27/23 A2987="
"2020-09-02 14:00:00","SKCG","METAR","METAR  021400Z 20010KT 9999  FEW015 BKN200 28/24 A2988   ="
"2020-09-02 15:00:00","SKCG","METAR","METAR SKCG 021500Z 20011KT 9999  FEW015 BKN200 28/23 A2988 ="
"2020-09-02 18:00:00","SKCG","METAR","METAR SKCG 021800Z 19009KT 9999  FEW015 BKN200 31/24 A2982   ="
"2020-09-02 19:00:00","SKCG","METAR","METAR SKCG 021900Z 22009KT 9999  FEW015 BKN200 31/23 A2979   ="
"2020-09-02 20:00:00","SKCG","METAR","METAR SKCG 022000Z 22005KT 170V280 9999  FEW015 BKN200 30/24 A2976="
"2020-09-02 21:00:00","SKCG","METAR","METAR SKCG 022100Z 21007KT 9999  FEW015 BKN200 30/23 A2974   ="
"2020-09-02 22:00:00","SKCG","METAR","METAR SKCG 022200Z 26003KT 9999  FEW015 BKN200 30/23 A2975   ="
"2020-09-02 23:00:00","SKCG","METAR","METAR SKCG 022300Z 27005KT 210V320 9999  FEW015 BKN100 29/23 A2975   ="
"2020-09-03 11:00:00","SKCG","METAR","METAR SKCG 031100Z VRB02KT 9999  FEW015TCU BKN080 26/25 A2980  RMK TCU/W ="
"2020-09-03 12:00:00","SKCG","METAR","METAR SKCG 031200Z VRB02KT 9999  FEW015 BKN080 27/25 A2982="
"2020-09-03 13:00:00","SKCG","METAR","METAR SKCG 031300Z VRB02KT 9999  FEW015 BKN080 28/25 A2983 ="
"2020-09-03 14:00:00","SKCG","METAR","METAR SKCG 031400Z VRB02KT 9999  FEW015TCU 29/25 A2984  RMK TCU/E ="
"2020-09-03 15:00:00","SKCG","METAR","METAR SKCG 031500Z VRB03KT 9999  FEW015 SCT200 31/24 A2983   ="
"2020-09-03 16:00:00","SKCG","METAR","METAR SKCG 031600Z VRB04KT 9999  FEW015 SCT200 32/23 A2982   ="
"2020-09-03 17:00:00","SKCG","METAR","METAR SKCG 031700Z 36009KT 260V340 9999  FEW015TCU SCT200 32/28 A2979  RMK TCU/E ="
"2020-09-03 18:00:00","SKCG","METAR","METAR SKCG 031800Z 36009KT 260V340 9999 TS  FEW015CB SCT200 31/23 A2977  RMK CB/N ="
"2020-09-03 19:00:00","SKCG","METAR","METAR SKCG 031900Z 31009KT 270V340 9999  FEW017CB SCT200 30/24 A2975 RETS RMK CB/E ="
"2020-09-03 21:00:00","SKCG","METAR","METAR SKCG 032100Z 33009KT 270V360 9999  FEW015 BKN080 30/24 A2972 ="
"2020-09-03 22:00:00","SKCG","METAR","METAR SKCG 032200Z 33007KT 300V010 9999  FEW017 SCT200 31/24 A2972   ="
"2020-09-03 23:00:00","SKCG","METAR","METAR SKCG 032300Z 34006KT 290V010 9999  FEW017 BKN200 30/25 A2974   ="
