"Fecha hora","Aeropuerto","Tipo Informe","Informe"
"2020-08-18 00:00:00","SKBQ","METAR","METAR SKBQ 180000Z VRB02KT 9999  SCT015 FEW020CB BKN070 24/24 A2985 NOSIG RMK LTNG CB/NE="
"2020-08-18 01:00:00","SKBQ","METAR","METAR SKBQ 180100Z VRB02KT 9999  SCT015 BKN070 24/23 A2986 RERA NOSIG="
"2020-08-18 02:00:00","SKBQ","METAR","METAR SKBQ 180200Z 25003KT 9999 SCT015 BKN070 24/24 A2986 NOSIG="
"2020-08-18 03:00:00","SKBQ","METAR","METAR SKBQ 180300Z 22004KT 9999 SCT015 SCT070 24/24 A2988 NOSIG="
"2020-08-18 04:00:00","SKBQ","METAR","METAR SKBQ 180400Z 24003KT 9999 SCT015 24/24 A2986 NOSIG="
"2020-08-18 05:00:00","SKBQ","METAR","METAR SKBQ 180500Z 26003KT 210V310 9999 SCT015 25/24 A2984 NOSIG="
"2020-08-18 06:00:00","SKBQ","METAR","METAR SKBQ 180600Z 27003KT 230V330 9999  SCT015 26/25 A2984 NOSIG="
"2020-08-18 07:00:00","SKBQ","METAR","METAR SKBQ 180700Z 03007KT 9999 SCT015 26/25 A2982 NOSIG="
"2020-08-18 08:00:00","SKBQ","METAR","METAR SKBQ 180800Z 08003KT 050V110 9999 SCT015 25/25 A2980 NOSIG="
"2020-08-18 09:00:00","SKBQ","METAR","METAR SKBQ 180900Z 08005KT 9999 BKN012 25/25 A2981 NOSIG="
"2020-08-18 10:00:00","SKBQ","METAR","METAR SKBQ 181000Z 06005KT 9999 BKN010 25/25 A2982 BECMG TL1030 FM1130 2000 BR="
"2020-08-18 11:00:00","SKBQ","METAR","METAR SKBQ 181100Z 07003KT 9999 SCT012 25/24 A2982 NOSIG="
"2020-08-18 12:00:00","SKBQ","METAR","METAR SKBQ 181200Z 07004KT 040V100 9999 SCT012 SCT070 26/25 A2984 NOSIG="
"2020-08-18 13:00:00","SKBQ","METAR","METAR SKBQ 181300Z 09004KT 9999 FEW015 SCT200 27/25 A2986 NOSIG="
"2020-08-18 14:00:00","SKBQ","METAR","METAR SKBQ 181400Z 11004KT 070V150 9999 FEW015 SCT200 28/25 A2987 NOSIG="
"2020-08-18 15:00:00","SKBQ","METAR","METAR SKBQ 181500Z 06003KT 9999 FEW018 SCT200 31/26 A2986 NOSIG="
"2020-08-18 16:00:00","SKBQ","METAR","METAR SKBQ 181600Z VRB02KT 9999 FEW018 SCT200 31/25 A2985 NOSIG="
"2020-08-18 17:00:00","SKBQ","METAR","METAR SKBQ 181700Z 19004KT 160V220 9999 SCT020 SCT200 32/25 A2985 NOSIG="
"2020-08-18 18:00:00","SKBQ","METAR","METAR SKBQ 181800Z 18005KT 130V220 9999 VCSH SCT020TCU SCT200 33/27 A2982 NOSIG RMK TCU/VCSH/N="
"2020-08-18 19:00:00","SKBQ","METAR","METAR SKBQ 181900Z 23004KT 9999 SCT020 SCT200 33/26 A2979 NOSIG="
"2020-08-18 20:00:00","SKBQ","METAR","METAR SKBQ 182000Z 25003KT 9999 VCSH SCT020TCU SCT200 33/25 A2976 NOSIG RMK TCU/SW VCSH/E/SW="
"2020-08-18 21:00:00","SKBQ","METAR","METAR SKBQ 182100Z 06007KT 020V090 9999 +RA SCT015 BKN200 30/26 A2976 BECMG FM2130 -RA="
"2020-08-18 21:10:00","SKBQ","SPECI","SPECI SKBQ 182110Z 08005KT 9999 2000SW +RA SCT015CB BKN200 27/26 A2978 BECMG TSRA SCT012CB RMK CB/SE="
"2020-08-18 21:20:00","SKBQ","SPECI","SPECI SKBQ 182120Z 33004KT 9999 1500SW TSRA SCT015CB BKN200 26/25 A2976 BECMG TL2200 5000 -RA SCT015 SCT080 RMK CB/SE/SW="
"2020-08-18 22:00:00","SKBQ","METAR","METAR SKBQ 182200Z 34005KT 9999 -DZ SCT015 SCT080 28/26 A2977 RETSRA BECMG FM2230 NSW="
"2020-08-18 23:00:00","SKBQ","METAR","METAR SKBQ 182300Z 33004KT 280V020 9999 FEW015 BKN200 28/26 A2978 REDZ NOSIG="
"2020-08-19 00:00:00","SKBQ","METAR","METAR SKBQ 190000Z 36005KT 330V030 9999 FEW015 BKN200 28/26 A2981 NOSIG="
"2020-08-19 01:00:00","SKBQ","METAR","METAR SKBQ 190100Z 35006KT 9999 FEW015 SCT200 28/26 A2982 NOSIG="
"2020-08-19 02:00:00","SKBQ","METAR","METAR SKBQ 190200Z 01006KT 9999 FEW015 SCT200 28/26 A2985 NOSIG="
"2020-08-19 03:00:00","SKBQ","METAR","METAR SKBQ 190300Z 36008KT 9999 FEW015 SCT200 28/26 A2987 NOSIG="
"2020-08-19 04:00:00","SKBQ","METAR","METAR SKBQ 190400Z 03012KT 9999 FEW015 SCT200 28/26 A2988 NOSIG="
"2020-08-19 05:00:00","SKBQ","METAR","METAR SKBQ 190500Z 35004KT 9999 FEW015 SCT200 27/25 A2985 NOSIG="
"2020-08-19 06:00:00","SKBQ","METAR","METAR SKBQ 190600Z 33004KT 300V010 9999 FEW015 SCT200 27/25 A2982 NOSIG="
"2020-08-19 07:00:00","SKBQ","METAR","METAR SKBQ 190700Z VRB02KT 9999 FEW015 SCT200 27/25 A2979 NOSIG="
"2020-08-19 08:00:00","SKBQ","METAR","METAR SKBQ 190800Z 35003KT 9999 FEW015 SCT200 27/25 A2976 NOSIG="
"2020-08-19 09:00:00","SKBQ","METAR","METAR SKBQ 190900Z 36003KT 9999 FEW015 SCT200 26/25 A2976 NOSIG="
"2020-08-19 10:00:00","SKBQ","METAR","METAR SKBQ 191000Z 04005KT 9999 SCT015 SCT200 26/25 A2978 BECMG TL1100 5000 BR="
"2020-08-19 12:00:00","SKBQ","METAR","METAR SKBQ 191200Z 09004KT 5000 BR FEW015 BKN070 26/26 A2981 BECMG 7000 VCFG="
"2020-08-19 13:00:00","SKBQ","METAR","METAR SKBQ 191300Z 10004KT 7000 VCFG FEW015 BKN070 27/26 A2984 BECMG FM1330 9999 NSW="
"2020-08-19 14:00:00","SKBQ","METAR","METAR SKBQ 191400Z 12004KT 080V170 9999 SCT015 29/26 A2984 NOSIG="
"2020-08-19 15:00:00","SKBQ","METAR","METAR SKBQ 191500Z 18004KT 9999 SCT020 30/26 A2985 NOSIG="
"2020-08-19 16:00:00","SKBQ","METAR","METAR SKBQ 191600Z 10005KT 050V180 9999 SCT020 31/26 A2985 NOSIG="
"2020-08-19 17:00:00","SKBQ","METAR","METAR SKBQ 191700Z 09004KT 010V170 9999 SCT020 SCT090 32/25 A2983 NOSIG="
"2020-08-19 18:00:00","SKBQ","METAR","METAR SKBQ 191800Z 09007KT 060V130 9999 SCT015 32/25 A2978 NOSIG="
"2020-08-19 19:00:00","SKBQ","METAR","METAR SKBQ 191900Z 21015KT 190V250 8000 2000SW VCSH BKN015 FEW020CB 28/25 A2976 BECMG 5000 TSRA RMK CB/SW="
"2020-08-19 19:21:00","SKBQ","SPECI","SPECI SKBQ 191921Z 22010KT 4000 -TSRA BKN012 FEW020CB 25/24 A2978 BECMG 5000 RA="
"2020-08-19 20:00:00","SKBQ","METAR","METAR SKBQ 192000Z 30005KT 230V010 2000 -TSRA BKN008 FEW020CB 25/25 A2978 BECMG 5000 RA="
"2020-08-19 20:08:00","SKBQ","SPECI","SPECI SKBQ 192008Z VRB02KT 7000 -TSRA BKN015 FEW020CB 25/25 A2978 BECMG 9999 NSW RMK CB/SW="
"2020-08-19 20:29:00","SKBQ","SPECI","SPECI SKBQ 192029Z VRB02KT 9999  SCT015 FEW020CB 25/25 A2978 RETSRA NOSIG RMK CB/W="
"2020-08-19 21:00:00","SKBQ","METAR","METAR SKBQ 192100Z 12004KT 9999 BKN015 26/25 A2979 RETS NOSIG="
"2020-08-19 22:00:00","SKBQ","METAR","METAR SKBQ 192200Z 24003KT 9999 -DZ BKN015 25/25 A2979 BECMG 5000 RA="
"2020-08-19 23:00:00","SKBQ","METAR","METAR SKBQ 192300Z 11004KT 9999 -RA BKN012 OVC070 26/25 A2982 NOSIG="
"2020-08-20 00:00:00","SKBQ","METAR","METAR SKBQ 200000Z VRB02KT 9999  BKN012 OVC070 26/25 A2983 RERA NOSIG="
"2020-08-20 01:00:00","SKBQ","METAR","METAR SKBQ 200100Z 12003KT 9999 -DZ BKN012 OVC070 26/25 A2986 NOSIG="
"2020-08-20 02:00:00","SKBQ","METAR","METAR SKBQ 200200Z 15003KT 9999  SCT015 BKN070 26/25 A2988 NOSIG="
"2020-08-20 03:00:00","SKBQ","METAR","METAR SKBQ 200300Z 00000KT 9999 SCT015 26/25 A2988 NOSIG="
"2020-08-20 04:00:00","SKBQ","METAR","METAR SKBQ 200400Z 15003KT 9999 SCT015 26/25 A2989 NOSIG="
"2020-08-20 05:00:00","SKBQ","METAR","METAR SKBQ 200500Z 16002KT 9999 SCT015 25/25 A2984 NOSIG="
"2020-08-20 06:00:00","SKBQ","METAR","METAR SKBQ 200600Z 21002KT 9999  SCT015 25/25 A2988 NOSIG="
"2020-08-20 07:00:00","SKBQ","METAR","METAR SKBQ 200700Z 18004KT 9999 SCT015 25/25 A2987 NOSIG="
"2020-08-20 08:00:00","SKBQ","METAR","METAR SKBQ 200800Z VRB02KT 9999  SCT015 25/25 A2984 NOSIG="
"2020-08-20 09:00:00","SKBQ","METAR","METAR SKBQ 200900Z VRB02KT 9999  SCT015 25/24 A2984 NOSIG="
"2020-08-20 10:00:00","SKBQ","METAR","METAR SKBQ 201000Z 17005KT 9999  SCT015 25/24 A2985 BECMG 2000 BR="
"2020-08-20 12:00:00","SKBQ","METAR","METAR SKBQ 201200Z 18005KT 9999 SCT015 SCT200 25/24 A2987 NOSIG="
"2020-08-20 13:00:00","SKBQ","METAR","METAR SKBQ 201300Z 16006KT 9999 FEW015 SCT200 26/25 A2988 NOSIG="
"2020-08-20 14:00:00","SKBQ","METAR","METAR SKBQ 201400Z 16007KT 9999 FEW015 BKN200 28/25 A2988 NOSIG="
"2020-08-20 15:00:00","SKBQ","METAR","METAR SKBQ 201500Z 18008KT 150V210 9999 SCT020 BKN200 29/25 A2989 NOSIG="
"2020-08-20 16:00:00","SKBQ","METAR","METAR SKBQ 201600Z 17006KT 9999 SCT020 SCT200 29/25 A2989 NOSIG="
"2020-08-20 17:00:00","SKBQ","METAR","METAR SKBQ 201700Z 18008KT 150V230 9999 SCT020 31/24 A2988 NOSIG="
"2020-08-20 18:00:00","SKBQ","METAR","METAR SKBQ 201800Z 20006KT 9999 SCT015 SCT070 31/25 A2986 NOSIG="
"2020-08-20 19:00:00","SKBQ","METAR","METAR SKBQ 201900Z 23004KT 9999 VCSH SCT015TCU SCT070 31/24 A2983 BECMG TL1930 SCT015CB SCT070 RMK TCU VCSH/E="
"2020-08-20 20:00:00","SKBQ","METAR","METAR SKBQ 202000Z 02008KT 9999 5000N VCSH SCT015CB SCT070 30/25 A2980 BECMG FM2100 5000 TSRA RMK CB/N="
"2020-08-20 21:00:00","SKBQ","METAR","METAR SKBQ 202100Z 33005KT 9999 5000W -TSRA SCT015CB SCT070 26/25 A2980 BECMG TL2200 8000 VCSH SCT015 SCT070 RMK CB/W/NW="
"2020-08-20 22:00:00","SKBQ","METAR","METAR SKBQ 202200Z 28003KT 9999 VCSH SCT015CB BKN070 25/24 A2979 RETSRA BECMG FM2330 TS  RMK CB VCSH/S/SW="
"2020-08-20 23:00:00","SKBQ","METAR","METAR SKBQ 202300Z 27003KT 9999 VCSH SCT015CB BKN070 26/25 A2982 BECMG FM2330 5000 TSRA RMK CB/E/SE VCSH/S="
"2020-08-21 00:00:00","SKBQ","METAR","METAR SKBQ 210000Z VRB02KT 9999 SCT015CB BKN070 26/26 A2985 BECMG 5000 TSRA RMK CB/E/SE="
