"Fecha hora","Aeropuerto","Tipo Informe","Informe"
"2020-08-18 00:00:00","SKRG","METAR","METAR SKRG 180000Z 04004KT 9999 FEW015 17/15 A3030 NOSIG="
"2020-08-18 01:00:00","SKRG","METAR","METAR SKRG 180100Z VRB02KT 9999 FEW015 SCT080 16/15 A3030 NOSIG="
"2020-08-18 02:00:00","SKRG","METAR","METAR SKRG 180200Z VRB02KT 9999 FEW015 SCT080 16/15 A3032 NOSIG="
"2020-08-18 03:00:00","SKRG","METAR","METAR SKRG 180300Z VRB02KT 9999 FEW015 BKN080 15/14 A3033 NOSIG="
"2020-08-18 04:00:00","SKRG","METAR","METAR SKRG 180400Z VRB02KT 9999 FEW010 BKN080 15/15 A3034 NOSIG="
"2020-08-18 05:00:00","SKRG","METAR","METAR SKRG 180500Z 00000KT 9999 SCT010 SCT080 16/15 A3033 NOSIG="
"2020-08-18 06:00:00","SKRG","METAR","METAR SKRG 180600Z 00000KT 9999 FEW007 BKN080 16/15 A3030 NOSIG="
"2020-08-18 07:00:00","SKRG","METAR","METAR SKRG 180700Z 36003KT 9999 FEW007 BKN080 15/15 A3028 NOSIG="
"2020-08-18 08:00:00","SKRG","METAR","METAR SKRG 180800Z VRB02KT 9999 FEW007 BKN080 14/14 A3028 NOSIG="
"2020-08-18 09:00:00","SKRG","METAR","METAR SKRG 180900Z 34004KT 9999 SCT007 BKN080 15/14 A3028 NOSIG="
"2020-08-18 10:00:00","SKRG","METAR","METAR SKRG 181000Z 16003KT 9999 SCT007 BKN080 15/14 A3027 NOSIG="
"2020-08-18 10:30:00","SKRG","SPECI","SPECI SKRG 181030Z 00000KT 9999 SCT010 BKN080 15/14 A3027 NOSIG="
"2020-08-18 11:00:00","SKRG","METAR","METAR SKRG 181100Z 00000KT 9999 FEW010 SCT018 BKN080 15/14 A3028 NOSIG="
"2020-08-18 12:00:00","SKRG","METAR","METAR SKRG 181200Z 27003KT 9999 BKN012 15/14 A3030 NOSIG="
"2020-08-18 13:00:00","SKRG","METAR","METAR SKRG 181300Z 23003KT 9999 SCT010 SCT080 17/16 A3032 NOSIG="
"2020-08-18 14:00:00","SKRG","METAR","METAR SKRG 181400Z 20003KT 9999 BKN015TCU 18/15 A3032 NOSIG RMK TCU/E="
"2020-08-18 15:00:00","SKRG","METAR","METAR SKRG 181500Z 36004KT 9999 SCT020 20/13 A3032 NOSIG="
"2020-08-18 16:00:00","SKRG","METAR","METAR SKRG 181600Z 10006KT 9999 SCT020 21/12 A3032 NOSIG="
"2020-08-18 17:00:00","SKRG","METAR","METAR SKRG 181700Z 10010KT 9999 SCT020 23/12 A3030 NOSIG="
"2020-08-18 18:00:00","SKRG","METAR","METAR"
"2020-08-18 19:00:00","SKRG","METAR","METAR SKRG 181900Z 08010KT 9999 SCT020TCU BKN200 24/11 A3023 NOSIG RMK TCU/SW/NW="
"2020-08-18 20:00:00","SKRG","METAR","METAR SKRG 182000Z 05010KT 9999 SCT020TCU BKN200 23/13 A3022 NOSIG RMK TCU/SW/NW="
"2020-08-18 21:00:00","SKRG","METAR","METAR SKRG 182100Z 07010KT 9999 SCT020TCU BKN200 23/14 A3021 NOSIG RMK TCU/S/W="
