"Fecha hora","Aeropuerto","Tipo Informe","Informe"
"2020-08-18 12:00:00","SKEJ","METAR","METAR SKEJ 181200Z VRB02KT 9999 FEW015 BKN200 25/24 A2985="
"2020-08-18 13:00:00","SKEJ","METAR","METAR SKEJ 181300Z 25004KT 9999 SCT012 26/25 A2986="
"2020-08-18 14:00:00","SKEJ","METAR","METAR SKEJ 181400Z VRB02KT 9999 BKN010 26/25 A2988="
"2020-08-18 15:00:00","SKEJ","METAR","METAR SKEJ 181500Z 28003KT 9999 SCT015 SCT200 29/25 A2987="
"2020-08-18 16:00:00","SKEJ","METAR","METAR SKEJ 181600Z 23003KT 9999 SCT015 BKN200 29/24 A2986="
"2020-08-18 17:00:00","SKEJ","METAR","METAR SKEJ 181700Z 00000KT 9999 FEW015 OVC200 30/23 A2984="
"2020-08-18 18:00:00","SKEJ","METAR","METAR SKEJ 181800Z 19004KT 9999 FEW017 BKN200 31/23 A2981="
"2020-08-18 19:00:00","SKEJ","METAR","METAR SKEJ 181900Z 35003KT 9999 FEW017 OVC200 31/23 A2977="
"2020-08-18 20:00:00","SKEJ","METAR","METAR SKEJ 182000Z VRB02KT 9999 FEW020 OVC200 32/21 A2974="
"2020-08-19 14:00:00","SKEJ","METAR","METAR SKEJ 191400Z 25003KT 9999 SCT015 SCT100 26/24 A2986="
"2020-08-19 15:00:00","SKEJ","METAR","METAR SKEJ 191400Z 25003KT 9999 SCT015 SCT100 26/24 A2986="
"2020-08-19 16:00:00","SKEJ","METAR","METAR SKEJ 191600Z 16004KT 9999 BKN015 27/24 A2988="
"2020-08-19 17:00:00","SKEJ","METAR","METAR SKEJ 191700Z 17004KT 9999 SCT015 SCT120 28/24 A2984="
"2020-08-19 18:00:00","SKEJ","METAR","METAR SKEJ 191800Z 17004KT 9999 SCT015 SCT120 30/24 A2981="
"2020-08-19 19:00:00","SKEJ","METAR","METAR SKEJ 191900Z 07003KT 9999 SCT015 SCT120 29/24 A2977="
"2020-08-19 20:00:00","SKEJ","METAR","METAR SKEJ 192000Z 06003KT 9999 SCT015 SCT120 29/25 A2975="
"2020-08-20 12:00:00","SKEJ","METAR","METAR SKEJ 201200Z 21005KT 9999 VCSH SCT008 BKN070 23/23 A2991 RMK VCSH NW="
"2020-08-20 13:00:00","SKEJ","METAR","METAR SKEJ 201300Z 29003KT 9999 SCT008 OVC070 23/23 A2993="
"2020-08-20 13:28:00","SKEJ","SPECI","SPECI SKEJ 201328Z 14005KT 9999 DZ SCT008 BKN070 23/23 A2994="
"2020-08-20 14:00:00","SKEJ","METAR","METAR SKEJ 201400Z 15004KT 9999 -DZ BKN006 BKN070 23/23 A2994 REDZ="
"2020-08-20 15:00:00","SKEJ","METAR","METAR SKEJ 201500Z 15004KT 9999 -DZ BKN008 SCT080 23/23 A2993="
"2020-08-20 16:00:00","SKEJ","METAR","METAR SKEJ 201600Z 14003KT 9999 BKN015 26/24 A2991 REDZ="
"2020-08-20 17:00:00","SKEJ","METAR","METAR SKEJ 201700Z 27004KT 9999 SCT017 28/24 A2988="
"2020-08-20 18:00:00","SKEJ","METAR","METAR SKEJ 201800Z  28005KT 9999 SCT017 29/23 A2984="
"2020-08-20 19:00:00","SKEJ","METAR","METAR SKEJ 201900Z  25005KT 9999 SCT017 30/23 A2980="
"2020-08-20 20:00:00","SKEJ","METAR","METAR SKEJ 202000Z 25003KT 9999 FEW017 30/22 A2977="
