"Fecha hora","Aeropuerto","Tipo Informe","Informe"
"2020-08-18 11:00:00","SKCG","METAR","METAR SKCG 181100Z 28004KT 9999 -RA FEW013CB SCT014 BKN200 27/27 A2980 RMK CB/W="
"2020-08-18 12:00:00","SKCG","METAR","METAR SKCG 181200Z 17006KT 160V220 9999 VCSH SCT013CB SCT200 28/27 A2981 RMK CB VCSH/S/W="
"2020-08-18 13:00:00","SKCG","METAR","METAR SKCG 181300Z 19007KT 9999 FEW014CB SCT200 29/27 A2982 RMK CB/W="
"2020-08-18 14:00:00","SKCG","METAR","METAR SKCG 181400Z 17005KT 9999 SCT014CB SCT200 29/27 A2984 RMK CB/E/S/W="
"2020-08-18 15:00:00","SKCG","METAR","METAR SKCG 181500Z 24007KT 170V240 9999 BKN014CB 30/27 A2983 CB/S/W="
"2020-08-18 16:00:00","SKCG","METAR","METAR SKCG 181600Z 23008KT 9999 RA SCT014CB SCT200 30/27 A2984 RMK CB/N/NE="
"2020-08-18 17:00:00","SKCG","METAR","METAR SKCG 181700Z 21008KT 180V250 9999 BKN015 31/27 A2983 RERA="
"2020-08-18 18:00:00","SKCG","METAR","METAR SKCG 181800Z 20011KT 7000 VCSH FEW015CB SCT016 SCT200 31/27 A2981 RMK CB/N/NW="
"2020-08-18 19:00:00","SKCG","METAR","METAR SKCG 181900Z 21009KT 190V270 9999 FEW015CB SCT200 32/26 A2979 RMK CB/NE="
"2020-08-18 20:00:00","SKCG","METAR","METAR SKCG 182000Z 24008KT 230V300 9999 VCSH FEW015CB BKN200 31/26 A2976 RMK CB/E="
"2020-08-18 21:00:00","SKCG","METAR","METAR SKCG 182100Z 27007KT 230V300 9999 FEW015 BKN200 30/26 A2976="
"2020-08-18 22:00:00","SKCG","METAR","METAR SKCG 182200Z 26004KT 240V320 9999 FEW015TCU BKN200 30/27 A2977 RMK TCU/E="
"2020-08-18 23:00:00","SKCG","METAR","METAR SKCG 182300Z 32004KT 270V330 9999 FEW015CB BKN200 30/27 A2978 RMK CB/NE/S="
"2020-08-19 11:00:00","SKCG","METAR","METAR SKCG 191100Z 19004KT 9999 FEW014CB SCT200 27/26 A2979 RMK CB/S/NW="
"2020-08-19 12:00:00","SKCG","METAR","METAR SKCG 191200Z 21013KT 9999 FEW014CB SCT015 SCT200 28/26 A2981 RMK CB/N="
"2020-08-19 12:35:00","SKCG","SPECI","SPECI SKCG 191235Z 22006KT 9999 RA BKN012 27/26 A2983="
"2020-08-19 13:00:00","SKCG","METAR","METAR SKCG 191300Z 21006KT 9999 DZ BKN012 27/27 A2983 RERA="
"2020-08-19 13:25:00","SKCG","SPECI","SPECI SKCG 191325Z 20004KT 9999 VCSH FEW014CB BKN200 28/26 A2982 REDZ RMK CB/N="
"2020-08-19 14:00:00","SKCG","METAR","METAR SKCG 191400Z 18007KT 9999 FEW014CB BKN200 29/26 A2982 RMK CB/N="
"2020-08-19 15:00:00","SKCG","METAR","METAR SKCG 191500Z 21005KT 9999 FEW014CB SCT200 30/25 A2984 RMK CB/NW="
"2020-08-19 16:00:00","SKCG","METAR","METAR SKCG 191600Z 23006KT 180V270 9999 FEW014CB BKN200 30/26 A2984 RMK CB/NW="
"2020-08-19 17:00:00","SKCG","METAR","METAR SKCG 191700Z 23011KT 190V270 9999 FEW015TCU BKN200 31/25 A2983 RMK TCU/NW="
"2020-08-19 18:00:00","SKCG","METAR","METAR SKCG 191800Z 22014KT 190V260 9999 FEW014CB SCT015 BKN200 30/26 A2979 RMK CB/NE="
"2020-08-19 19:00:00","SKCG","METAR","METAR SKCG 191900Z 20012KT 9999 FEW014CB SCT070 BKN200 29/26 A2977 RMK CB/N/NW="
"2020-08-19 20:00:00","SKCG","METAR","METAR SKCG 192000Z 22008KT 9999 SCT015 BKN070 29/26 A2977="
"2020-08-19 21:00:00","SKCG","METAR","METAR SKCG 192100Z 23010KT 9999 FEW015 BKN070 29/25 A2977="
