"Fecha hora","Aeropuerto","Tipo Informe","Informe"
"2020-08-18 11:00:00","SKMD","METAR","METAR SKMD 181100Z 00000KT 9999 SCT018 SCT080 19/18 A3013 RMK HZ="
"2020-08-18 12:00:00","SKMD","METAR","METAR SKMD 181200Z 00000KT 9999 FEW020 BKN090 20/18 A3016="
"2020-08-18 13:00:00","SKMD","METAR","METAR SKMD 181300Z VRB02KT 9999 FEW020 BKN090 20/17 A3017="
"2020-08-18 14:00:00","SKMD","METAR","METAR SKMD 181400Z 36003KT 8000 SCT025 BKN090 22/16 A3018  RMK HZ="
"2020-08-18 15:00:00","SKMD","METAR","METAR SKMD 181500Z 08004KT 9999 SCT030 24/16 A3016="
"2020-08-18 16:00:00","SKMD","METAR","METAR SKMD 181600Z 13004KT 9999 SCT030 SCT200 25/14 A3015="
"2020-08-18 17:00:00","SKMD","METAR","METAR SKMD 181700Z 03006KT 9999 SCT035 SCT200 27/16 A3013="
"2020-08-18 18:00:00","SKMD","METAR","METAR SKMD 181800Z 02010KT 9999 SCT035TCU SCT200 28/15 A3008 RMK TCU/E/SE="
"2020-08-18 19:00:00","SKMD","METAR","METAR SKMD 181900Z 36008KT 9999 SCT035TCU SCT200 27/14 A3005 RMK TCU/E/SE="
"2020-08-18 20:00:00","SKMD","METAR","METAR SKMD 182000Z 02006KT 9999 SCT035TCU BKN200 28/14 A3003 RMK TCU/NE/SW="
"2020-08-18 21:00:00","SKMD","METAR","METAR SKMD 182100Z 01012KT 9999 SCT030TCU BKN200 27/16 A3001 RMK TCU/E/SE="
"2020-08-18 22:00:00","SKMD","METAR","METAR SKMD 182200Z 32010KT 9999 6000S VCSH SCT030TCU BKN200 24/17 A3003 RMK TCU VCSH/S/NW="
"2020-08-18 23:00:00","SKMD","METAR","METAR SKMD 182300Z 20008KT 9999 6000S VCSH FEW030TCU BKN200 22/18 A3006 RMK TCU VCSH/SW="
"2020-08-19 11:00:00","SKMD","METAR","METAR SKMD 191100Z 19003KT 9999 -DZ SCT020 BKN080 19/18 A3012="
"2020-08-19 12:00:00","SKMD","METAR","METAR SKMD 191200Z 17004KT 9999 FEW020 BKN090 19/18 A3013 REDZ="
"2020-08-19 13:00:00","SKMD","METAR","METAR SKMD 191300Z 20004KT 9999 FEW020 SCT090 BKN200 20/18 A3016="
"2020-08-19 14:00:00","SKMD","METAR","METAR SKMD 191400Z 03004KT 9999 FEW020 SCT100 BKN200 21/17 A3017="
"2020-08-19 15:00:00","SKMD","METAR","METAR SKMD 191500Z 18006KT 9999 SCT025 BKN200 23/17 A3017="
"2020-08-19 17:00:00","SKMD","METAR","METAR SKMD 191700Z 22010KT 9999 SCT025TCU BKN200 25/16 A3013 RMK TCU/SE/W="
"2020-08-19 18:00:00","SKMD","METAR","METAR SKMD 191800Z 23010KT 9999 VCSH SCT025TCU BKN200 25/16 A3010 RMK TCU VCSH/SW/NW="
"2020-08-19 19:00:00","SKMD","METAR","METAR SKMD 191900Z 18006KT 9999 VCSH SCT025TCU SCT200 26/17 A3007 RMK TCU VCSH/E/SE="
"2020-08-19 20:00:00","SKMD","METAR","METAR SKMD 192000Z 17006KT 9999 VCSH FEW030TCU BKN090 23/17 A3006 REDZ RMK TCU VCSH/E/W="
"2020-08-19 21:00:00","SKMD","METAR","METAR SKMD 192100Z 18004KT 9999 FEW030TCU BKN200 25/16 A3004 RMK TCU/SE/N="
"2020-08-19 22:00:00","SKMD","METAR","METAR SKMD 192200Z 21006KT 9999 FEW030TCU BKN200 24/16 A3004 RMK TCU/SE/N="
"2020-08-19 23:00:00","SKMD","METAR","METAR SKMD 192300Z 23006KT 9999 SCT025TCU BKN090 23/16 A3006 RMK TCU/SE/SW="
"2020-08-20 11:00:00","SKMD","METAR","METAR SKMD 201100Z 32003KT 9999 FEW020 BKN030 BKN080 18/16 A3017="
"2020-08-20 12:00:00","SKMD","METAR","METAR SKMD 201200Z 21005KT 9999 VCSH FEW030 OVC080 18/16 A3019 RMK VCSH/S/N="
"2020-08-20 13:00:00","SKMD","METAR","METAR SKMD 201300Z 20004KT 9999 FEW020 OVC080 19/16 A3021="
"2020-08-20 14:00:00","SKMD","METAR","METAR SKMD 201400Z 30003KT 9999 FEW020 OVC080 20/16 A3020="
"2020-08-20 15:00:00","SKMD","METAR","METAR SKMD 201500Z 09004KT 9999 FEW030 BKN200 23/16 A3019="
"2020-08-20 16:00:00","SKMD","METAR","METAR SKMD 201600Z 02005KT 9999 FEW030 BKN200 24/16 A3018="
"2020-08-20 17:00:00","SKMD","METAR","METAR SKMD 201700Z 02009KT 9999 FEW030 BKN200 25/16 A3015="
"2020-08-20 18:00:00","SKMD","METAR","METAR SKMD 201800Z 23009KT 9999 SCT030 SCT200 27/16 A3011="
"2020-08-20 19:00:00","SKMD","METAR","METAR SKMD 201900Z 30006KT 9999 FEW030 SCT200 27/16 A3006="
"2020-08-20 20:00:00","SKMD","METAR","METAR SKMD 202000Z 03011KT 9999 FEW030 SCT200 28/14 A3003="
"2020-08-20 21:00:00","SKMD","METAR","METAR SKMD 202100Z 02012KT 9999 VCSH SCT030 28/14 A3000 RMK VCSH/S/N="
"2020-08-20 22:00:00","SKMD","METAR","METAR SKMD 202200Z 03016KT 9999 VCSH SCT030CB 26/15 A3000 RMK CB VCSH/SW="
"2020-08-20 23:00:00","SKMD","METAR","METAR SKMD 202300Z 04007KT 9999 TS SCT030CB  24/16 A3006 RMK CB VCSH/S/N="
