"Fecha hora","Aeropuerto","Tipo Informe","Informe"
"2020-08-18 11:00:00","SKMR","METAR","METAR SKMR 181100Z 14004KT 9999 FEW013 SCT200 25/24 A2982="
"2020-08-18 12:00:00","SKMR","METAR","METAR SKMR 181200Z VRB02KT 9999 FEW013 BKN200 26/25 A2983="
"2020-08-18 13:00:00","SKMR","METAR","METAR SKMR 181300Z VRB02KT 9999 SCT015 BKN070 26/25 A2986="
"2020-08-18 14:00:00","SKMR","METAR","METAR SKMR 181400Z 19003KT 9999 SCT015 SCT070 27/25 A2987="
"2020-08-18 15:00:00","SKMR","METAR","METAR SKMR 181500Z 26004KT 9999 SCT015 SCT200 30/26 A2987="
"2020-08-18 16:00:00","SKMR","METAR","METAR SKMR 181600Z 27003KT 9999 SCT015 BKN200 31/26 A2986="
"2020-08-18 17:00:00","SKMR","METAR","METAR SKMR 181700Z 24003KT 9999 FEW020 BKN200 31/26 A2984="
"2020-08-18 18:00:00","SKMR","METAR","METAR SKMR 181800Z 23004KT 9999 FEW020 BKN200 31/25 A2982="
"2020-08-18 19:00:00","SKMR","METAR","METAR SKMR 181900Z 31006KT 9999 SCT017 BKN200 31/25 A2979="
"2020-08-18 20:00:00","SKMR","METAR","METAR SKMR 182000Z 28005KT 9999 FEW017 BKN200 31/25 A2977="
"2020-08-18 21:00:00","SKMR","METAR","METAR SKMR 182100Z 29003KT 9999 FEW017 BKN200 31/25 A2976="
"2020-08-18 22:00:00","SKMR","METAR","METAR SKMR 182200Z 26003KT 9999 FEW020 BKN200 31/25 A2976="
"2020-08-18 23:00:00","SKMR","METAR","METAR SKMR 182300Z 32005KT 9999 FEW020 BKN200 29/26 A2977="
"2020-08-19 11:00:00","SKMR","METAR","METAR SKMR 191100Z VRB02KT 9999 SCT015 BKN070 24/23 A2981="
"2020-08-19 12:00:00","SKMR","METAR","METAR SKMR 191200Z 04004KT 9999 FEW015 OVC100 25/23 A2984="
"2020-08-19 13:00:00","SKMR","METAR","METAR SKMR 191300Z 00000KT 9999 -DZ SCT015 OVC100 25/24 A2985="
"2020-08-19 14:00:00","SKMR","METAR","METAR SKMR 191400Z VRB02KT 9999 -DZ SCT015 OVC070 25/24 A2986="
"2020-08-19 15:00:00","SKMR","METAR","METAR SKMR 191500Z 20005KT 9999 -DZ SCT015 OVC070 25/24 A2986="
"2020-08-19 16:00:00","SKMR","METAR","METAR SKMR 191600Z VRB02KT 9999 SCT015 OVC070 27/24 A2987 REDZ="
"2020-08-19 17:00:00","SKMR","METAR","METAR SKMR 191700Z 21005KT 9999 FEW020 OVC070 28/24 A2987="
"2020-08-19 18:00:00","SKMR","METAR","METAR SKMR 191800Z 24004KT 9999 FEW020 BKN200 30/25 A2983="
"2020-08-19 19:00:00","SKMR","METAR","METAR SKMR 191900Z 24007KT 9999 FEW020 SCT100 BKN200 30/25 A2980="
"2020-08-19 20:00:00","SKMR","METAR","METAR SKMR 192000Z 26006KT 9999 FEW020 SCT100 BKN200 31/25 A2977="
"2020-08-19 21:00:00","SKMR","METAR","METAR SKMR 192100Z 28006KT 9999 FEW020 BKN200 30/24 A2976="
"2020-08-19 22:00:00","SKMR","METAR","METAR SKMR 192200Z 29005KT 9999 FEW020 BKN200 31/24 A2978="
"2020-08-19 23:00:00","SKMR","METAR","METAR SKMR 192300Z 33004KT 9999 FEW020 BKN200 29/25 A2979="
"2020-08-20 11:00:00","SKMR","METAR","METAR SKMR 201100Z VRB02KT 9999 FEW012 OVC070 24/24 A2985 REDZ="
"2020-08-20 12:00:00","SKMR","METAR","METAR SKMR 201200Z VRB02KT 9999 FEW012 OVC070 24/24 A2985="
"2020-08-20 13:00:00","SKMR","METAR","METAR SKMR 201300Z 16005KT 9999 SCT010 OVC070 25/24 A2987="
"2020-08-20 14:00:00","SKMR","METAR","METAR SKMR 201400Z 15006KT 9999 SCT010 BKN070 26/24 A2989="
"2020-08-20 15:00:00","SKMR","METAR","METAR SKMR 201500Z 18006KT 9999 SCT015 BKN200 28/25 A2989="
"2020-08-20 16:00:00","SKMR","METAR","METAR SKMR 201600Z 17005KT 9999 BKN015 SCT200 28/25 A2988="
"2020-08-20 17:00:00","SKMR","METAR","METAR SKMR 201700Z 22004KT 9999 SCT015 BKN200 28/24 A2987="
"2020-08-20 18:00:00","SKMR","METAR","METAR SKMR 201800Z 21007KT 9999 SCT020 BKN200 29/25 A2986="
"2020-08-20 19:00:00","SKMR","METAR","METAR SKMR 201900Z 25005KT 9999 SCT020 BKN200 29/24 A2983="
"2020-08-20 20:00:00","SKMR","METAR","METAR SKMR 202000Z 12004KT 9999 FEW020 SCT200 31/24 A2980="
"2020-08-20 21:00:00","SKMR","METAR","METAR SKMR 202100Z 26003KT 9999 FEW020 SCT200 31/24 A2977="
"2020-08-20 22:00:00","SKMR","METAR","METAR SKMR 202200Z 34010KT 9999 VCSH SCT015CB SCT200 27/24 A2979 RMK CB/VCSH/NW="
"2020-08-20 23:00:00","SKMR","METAR","METAR SKMR 202300Z 34003KT 9999 FEW015 SCT200 26/23 A2979="
