"Fecha hora","Aeropuerto","Tipo Informe","Informe"
"2020-08-18 00:00:00","SKPV","METAR","METAR SKPV 180000Z 05004KT 9999 FEW017 OVC200 28/25 A2988="
"2020-08-18 11:00:00","SKPV","METAR","METAR SKPV 181100Z VRB02KT 9999 FEW017 27/25 A2985="
"2020-08-18 12:00:00","SKPV","METAR","METAR SKPV 181200Z VRB06KT 9999 FEW017 27/25 A2985="
"2020-08-18 13:00:00","SKPV","METAR","METAR SKPV 181300Z 07004KT 360V140 9999 FEW017 28/26 A2987="
"2020-08-18 14:00:00","SKPV","METAR","METAR SKPV 181400Z 08004KT 010V140 9999 FEW017 SCT200 30/27 A2989="
"2020-08-18 15:00:00","SKPV","METAR","METAR SKPV 181600Z 08006KT 360V140 9999 FEW018 SCT200 31/27 A2992="
"2020-08-18 16:00:00","SKPV","METAR","METAR SKPV 181600Z 07006KT 030V160 9999 FEW017 SCT200 31/27 A2993="
"2020-08-18 17:00:00","SKPV","METAR","METAR SKPV 181700Z 08004KT 020V140 9999 FEW018 BKN200 31/27 A2991="
"2020-08-18 18:00:00","SKPV","METAR","METAR SKPV 181800Z 08004KT 340V140 9999 FEW018 OVC200 32/27 A2990="
"2020-08-18 19:00:00","SKPV","METAR","METAR SKPV 181900Z VRB02KT 9999 FEW018 BKN200 31/26 A2989="
"2020-08-18 20:00:00","SKPV","METAR","METAR SKPV 182000Z VRB04KT 9999 FEW018 BKN200 31/26 A2987="
"2020-08-18 21:00:00","SKPV","METAR","METAR SKPV 182100Z 34008KT 9999 FEW017TCU BKN200 29/26 A2985="
"2020-08-18 22:00:00","SKPV","METAR","METAR SKPV 182200Z VRB02KT 9999 FEW017TCU BKN200 29/26 A2986 REDZ="
"2020-08-18 23:00:00","SKPV","METAR","METAR SKPV 182300Z VRB02KT 9999 FEW017 BKN200 28/26 A2986="
"2020-08-19 00:00:00","SKPV","METAR","METAR SKPV 190000Z VRB02KT 9999 FEW017 BKN200 28/26 A2988="
"2020-08-19 11:00:00","SKPV","METAR","SKPV 191100Z 05008KT 9999 SCT017 OVC200 27/26 A2985 ="
"2020-08-19 13:00:00","SKPV","METAR","METAR SKPV 191300Z 08004KT 9999 FEW017 OVC200 29/27 A2987="
"2020-08-19 14:00:00","SKPV","METAR","METAR SKPV 191400Z 35004KT 9999 FEW017 OVC200 30/27 A2987="
"2020-08-19 15:00:00","SKPV","METAR","METAR SKPV 191500Z 35004KT 9999 FEW018 OVC200 30/27 A2989="
"2020-08-19 17:00:00","SKPV","METAR","METAR SKPV 191600Z 08004KT 9999 FEW018 OVC200 31/27 A2990="
"2020-08-19 18:00:00","SKPV","METAR","METAR SKPV 191800Z 09004KT 030V130 9999 FEW018 OVC200 31/27 A2988="
"2020-08-19 19:00:00","SKPV","METAR","METAR SKPV 191900Z 08004KT 9999 FEW018 OVC200 31/27 A2986="
"2020-08-19 20:00:00","SKPV","METAR","METAR SKPV 192000Z 09004KT 9999 SCT017 OVC200 31/28 A2984 ="
"2020-08-19 21:00:00","SKPV","METAR","METAR SKPV 192100Z 29004KT 9999 FEW017 OVC200 26/26 A2983 RERA="
"2020-08-19 22:00:00","SKPV","METAR","METAR SKPV 192200Z 29004KT 9999 FEW017 OVC200 28/26 A2981 ="
"2020-08-19 23:00:00","SKPV","METAR","METAR SKPV 192300Z 08004KT 9999 FEW017 OVC200 27/26 A2981 ="
"2020-08-20 00:00:00","SKPV","METAR","METAR SKPV 200000Z 00000KT 9999 FEW017 OVC200 27/26 A2983="
"2020-08-20 11:00:00","SKPV","METAR","METAR SKPV 201100Z VRB02KT 9999 FEW017 BKN200 25/25 A2981="
"2020-08-20 12:00:00","SKPV","METAR","METAR SKPV 201200Z VRB02KT 9999 FEW017 BKN200 25/25 A2983="
"2020-08-20 13:00:00","SKPV","METAR","METAR SKPV 201300Z VRB02KT 9999 FEW017 OVC200 26/26 A2985="
"2020-08-20 14:00:00","SKPV","METAR","METAR SKPV 201400Z 33006KT 300V020 9999 FEW017 BKN200 28/26 A2986="
"2020-08-20 15:00:00","SKPV","METAR","METAR SKPV 201500Z 35006KT 320V020 9999 SCT017TCU SCT200 28/27 A2988 RMK TCU/N="
"2020-08-20 16:00:00","SKPV","METAR","METAR SKPV 201600Z 32004KT 280V020 9999 FEW017 BKN200 29/26 A2986="
"2020-08-20 17:00:00","SKPV","METAR","METAR SKPV 201700Z VRB06KT 9999 FEW017 BKN200 31/27 A2986="
"2020-08-20 18:00:00","SKPV","METAR","METAR SKPV 201800Z 34006KT 230V010 9999 FEW017 BKN200 31/27 A2985="
"2020-08-20 19:00:00","SKPV","METAR","METAR SKPV 201900Z 16004KT 090V200 9999 FEW017 SCT080 28/25 A2983="
"2020-08-20 20:00:00","SKPV","METAR","METAR SKPV 202000Z VRB04KT 9999 FEW017 SCT080 29/26 A2981="
"2020-08-20 21:00:00","SKPV","METAR","METAR SKPV 202100Z VRB04KT 9999 FEW017 SCT080 29/26 A2979="
"2020-08-20 22:00:00","SKPV","METAR","METAR SKPV 202200Z 30004KT 280V350 9999 FEW017 SCT080 28/26 A2980="
"2020-08-20 23:00:00","SKPV","METAR","METAR SKPV 202300Z 33004KT 9999 FEW017 SCT080 27/25 A2980="
"2020-08-21 00:00:00","SKPV","METAR","METAR SKPV 210000Z 33004KT 9999 FEW017 SCT080 27/25 A2982="
