"Fecha hora","Aeropuerto","Tipo Informe","Informe"
"2020-08-18 00:00:00","SKSP","METAR","METAR SKSP 180000Z 06006KT 9999 FEW016 BKN200 29/25 A2986="
"2020-08-18 01:00:00","SKSP","METAR","METAR SKSP 180100Z 06006KT 9999 FEW014 BKN200 28/25 A2989="
"2020-08-18 02:00:00","SKSP","METAR","METAR SKSP 180200Z 06006KT 040V100 9999 SCT014 SCT200 28/25 A2990="
"2020-08-18 03:00:00","SKSP","METAR","METAR SKSP 180300Z 05004KT 9999 FEW014 BKN200 28/25 A2991="
"2020-08-18 04:00:00","SKSP","METAR","METAR SKSP 180400Z 04006KT 020V080 9999 SCT014 BKN200 28/25 A2992="
"2020-08-18 05:00:00","SKSP","METAR","METAR SKSP 180500Z 04006KT 020V080 9999 SCT014 BKN200 28/25 A2991="
"2020-08-18 06:00:00","SKSP","METAR","METAR SKSP 180600Z 05006KT 9999 SCT014 SCT200 28/26 A2990="
"2020-08-18 07:00:00","SKSP","METAR","METAR SKSP 180700Z 05007KT 9999 SCT014 SCT200 28/26 A2988="
"2020-08-18 08:00:00","SKSP","METAR","METAR SKSP 180800Z 05006KT 9999 FEW014 SCT200 28/25 A2987="
"2020-08-18 09:00:00","SKSP","METAR","METAR SKSP 180900Z 04008KT 360V070 9999 FEW014 28/25 A2984="
"2020-08-18 10:00:00","SKSP","METAR","METAR SKSP 181000Z 04008KT 360V070 9999 FEW014 28/25 A2984="
"2020-08-18 11:00:00","SKSP","METAR","METAR SKSP 181100Z 05008KT 9999 FEW014 28/25 A2984="
"2020-08-18 12:00:00","SKSP","METAR","METAR SKSP 181200Z 04008KT 030V090 9999 FEW016 SCT200 28/25 A2984="
"2020-08-18 13:00:00","SKSP","METAR","METAR SKSP 181300Z 05007KT 030V090 9999 FEW017 SCT200 29/25 A2987="
"2020-08-18 14:00:00","SKSP","METAR","METAR SKSP 191400Z 06007KT 030V100 9999 FEW018 30/25 A2290="
"2020-08-18 15:00:00","SKSP","METAR","METAR SKSP 181500Z 04008KT 9999 FEW017 SCT200 30/26 A2991="
"2020-08-18 16:00:00","SKSP","METAR","METAR SKSP 181600Z 06008KT 030V090 9999 FEW017 SCT200 30/26 A2991="
"2020-08-18 17:00:00","SKSP","METAR","METAR SKSP 181700Z 06009KT 020V120 99999 FEW017 SCT100 BKN200 30/26 A2991="
"2020-08-18 18:00:00","SKSP","METAR","METAR SKSP 181800Z 07007KT 010V110 9999 FEW018 BKN200 30/25 A2990="
"2020-08-18 19:00:00","SKSP","METAR","METAR SKSP 181900Z 06006KT 010V070 9999 FEW018 BKN200 31/26 A2988="
"2020-08-18 20:00:00","SKSP","METAR","METAR SKSP 182000Z 03007KT 310V110 9999 SCT016 BKN200 31/26 A2986="
"2020-08-18 21:00:00","SKSP","METAR","METAR SKSP 182100Z VRB02KT 9999 SCT012 SCT200 27/26 A2985 RERA RMK VCSH/W/SW="
"2020-08-18 22:00:00","SKSP","METAR","METAR SKSP 182200Z 02005KT 340V070 9999 FEW012 BKN080 26/25 A2985 RERA="
"2020-08-18 23:00:00","SKSP","METAR","METAR SKSP 182300Z 02005KT 9999 FEW012 OVC200 27/25 A2986="
"2020-08-19 00:00:00","SKSP","METAR","METAR SKSP 190000Z 03004KT 020V100 9999 FEW013 SCT070 BKN200 27/25 A2987="
"2020-08-19 01:00:00","SKSP","METAR","METAR SKSP 190100Z VRB02KT 9999 FEW013 BKN070 27/26 A2987="
"2020-08-19 02:00:00","SKSP","METAR","METAR SKSP 190200Z 09004KT 020V120 9999 FEW013 BKN080 27/26 A2988="
"2020-08-19 03:00:00","SKSP","METAR","METAR SKSP 190300Z 06004KT 020V100 9999 FEW016 BKN080 28/25 A2989="
"2020-08-19 04:00:00","SKSP","METAR","METAR SKSP 190400Z 04005KT 9999 FEW013 SCT200 28/25 A2989="
"2020-08-19 05:00:00","SKSP","METAR","METAR SKSP 190500Z 05007KT 030V090 9999 FEW013 SC200 28/25 A2989="
"2020-08-19 06:00:00","SKSP","METAR","METAR SKSP 190600Z 04008KT 9999 SCT013 SCT200 28/25 A2989="
"2020-08-19 07:00:00","SKSP","METAR","METAR SKSP 190700Z 04009KT 030V090 9999 FEW015 BKN200 28/25 A2986="
"2020-08-19 08:00:00","SKSP","METAR","METAR SKSP 190800Z 04008KT 9999 FEW015 BKN200 28/25 A2984="
"2020-08-19 09:00:00","SKSP","METAR","METAR SKSP 190900Z 05007KT 9999 FEW015 BKN200 28/25 A2984="
"2020-08-19 10:00:00","SKSP","METAR","METAR SKSP 191000Z 05005KT 030V090 9999 FEW015 BKN200 28/26 A2983="
"2020-08-19 11:00:00","SKSP","METAR","METAR SKSP 191100Z 04006KT 020V080 9999 FEW015 BKN200 27/25 A2984="
"2020-08-19 12:00:00","SKSP","METAR","METAR SKSP 191200Z 05005KT 020V080 9999 FEW015 BKN200 28/25 A2985="
"2020-08-19 13:00:00","SKSP","METAR","METAR SKSP 191300Z 05008KT 9999 FEW018 BKN200 29/25 A2986="
"2020-08-19 14:00:00","SKSP","METAR","METAR SKSP 191400Z 06008KT 9999 FEW018 BKN200 30/26 A2987="
"2020-08-19 15:00:00","SKSP","METAR","METAR SKSP 191500Z 07005KT 030V110 9999 FEW018 BKN200 30/25 A2989="
"2020-08-19 16:00:00","SKSP","METAR","METAR SKSP 191600Z 07007KT 010V090 9999 FEW018 BKN200 30/25 A2990="
"2020-08-19 17:00:00","SKSP","METAR","METAR SKSP 191700Z 06006KT 9999 010V100 9999 FEW018 BKN200 31/26 A2989="
"2020-08-19 18:00:00","SKSP","METAR","METAR SKSP 191800Z 06007KT 020V090 9999 FEW018 OVC200 31/26 A2987="
"2020-08-19 19:00:00","SKSP","METAR","METAR SKSP 191900Z 05007KT 020V100 9999 FEW016 OVC200 30/27 A2985="
"2020-08-19 20:00:00","SKSP","METAR","METAR SKSP 192000Z 05005KT 350V080 9999 FEW016 BKN200 30/26 A2983="
