"Fecha hora","Aeropuerto","Tipo Informe","Informe"
"2020-08-18 12:00:00","SKSM","METAR","METAR SKSM 181200Z 03004KT 9999 FEW020 SCT100 BKN200 27/25 A////="
"2020-08-18 13:00:00","SKSM","METAR","METAR SKSM 181300Z 17004KT 9999 FEW020 BKN200 28/25 A2987="
"2020-08-18 14:00:00","SKSM","METAR","METAR SKSM 181400Z 18005KT 9999 FEW020 BKN200 29/25 A2988="
"2020-08-18 15:00:00","SKSM","METAR","METAR SKSM 181500Z 21008KT 9999 FEW020 BKN200 29/26 A2988="
"2020-08-18 16:00:00","SKSM","METAR","METAR SKSM 181600Z 25008KT 9999 FEW020 BKN200 33/26 A2987="
"2020-08-18 17:00:00","SKSM","METAR","METAR SKSM 181700Z 24009KT 9999 BKN020 BKN200 33/27 A2988="
"2020-08-18 18:00:00","SKSM","METAR","METAR SKSM 181800Z 27004KT 9999 SCT020 SCT100 BKN200 33/26 A2985="
"2020-08-18 19:00:00","SKSM","METAR","METAR SKSM 181900Z 36006KT 9999 SCT020 BKN200 32/26 A2982="
"2020-08-18 20:00:00","SKSM","METAR","METAR SKSM 182000Z 33005KT 9999 FEW020 BKN100 32/25 A2980="
"2020-08-19 12:00:00","SKSM","METAR","METAR SKSM 191200Z VRB02KT 9999 BKN030 27/25 A2984="
"2020-08-19 13:00:00","SKSM","METAR","METAR SKSM 191300Z 00000KT 9999 BKN030 27/25 A2988="
"2020-08-19 14:00:00","SKSM","METAR","METAR SKSM 191400Z 21005KT 9999 FEW020 SCT100 30/26 A2987="
"2020-08-19 15:00:00","SKSM","METAR","METAR SKSM 191500Z VRB02KT 9999 SCT020 BKN070 30/25 A2989="
"2020-08-19 16:00:00","SKSM","METAR","METAR SKSM 191600Z 30005KT 9999 SCT020TCU SCT100 31/28 A2989 RMK TCU/E/S="
"2020-08-19 17:00:00","SKSM","METAR","METAR SKSM 191700Z 30004KT 9999 SCT017 BKN200 33/27 A2987="
"2020-08-19 18:00:00","SKSM","METAR","METAR SKSM 191800Z 35007KT 9999 SCT017TCU SCT100 BKN200 31/26 A2983 RMK TCU/S="
"2020-08-19 19:00:00","SKSM","METAR","METAR SKSM 191900Z 31006KT 9999 SCT017CB SCT100 OVC200 34/27 A2979 RMK CB/E="
"2020-08-19 19:25:00","SKSM","SPECI","SPECI SKSM 191925Z 31005KT 9999 -RA SCT017TCU BKN100 OVC200 32/27 A2979 RMK TCU/S="
"2020-08-19 20:00:00","SKSM","METAR","METAR SKSM 192000Z 24004KT 9999 BKN017 OVC100 30/26 A2979 RERA="
"2020-08-20 12:00:00","SKSM","METAR","METAR SKSM 201200Z 06003KT 9999 FEW030 BKN070 BKN200 28/26 A////="
"2020-08-20 13:00:00","SKSM","METAR","METAR SKSM 201300Z VRB02KT 9999 FEW030 SCT100 BKN200 28/25 A2991="
"2020-08-20 14:00:00","SKSM","METAR","METAR SKSM 201400Z 23005KT 9999 FEW030 SCT100 BKN200 29/24 A2992="
"2020-08-20 15:00:00","SKSM","METAR","METAR SKSM 201500Z 28005KT 9999 FEW020 BKN200 30/25 A2991="
"2020-08-20 16:00:00","SKSM","METAR","METAR SKSM 201600Z 25006KT 9999 SCT020 SCT100 BKN200 30/26 A2993="
"2020-08-20 18:00:00","SKSM","METAR","METAR SKSM 201800Z 29006KT 9999 SCT017 BKN200 32/26 A2989="
"2020-08-20 19:00:00","SKSM","METAR","METAR SKSM 201900Z 31006KT 9999 SCT017 BKN200 32/26 A2986="
"2020-08-20 20:00:00","SKSM","METAR","METAR SKSM 202000Z 01005KT 9999 TS SCT017CB BKN070 29/25 A2985 RMK CB/SE/S="
