"Fecha hora","Aeropuerto","Tipo Informe","Informe"
"2020-08-18 00:00:00","SKCL","METAR","METAR SKCL 180000Z 05004KT 9999 FEW030 BKN120 23/18 A2995 NOSIG="
"2020-08-18 01:00:00","SKCL","METAR","METAR SKCL 180100Z 01006KT 9999 SCT030 BKN120 23/19 A2997 NOSIG="
"2020-08-18 02:00:00","SKCL","METAR","METAR SKCL 180200Z 01003KT 9999 FEW030 BKN120 23/18 A3000 NOSIG="
"2020-08-18 03:00:00","SKCL","METAR","METAR SKCL 180300Z 36003KT 9999 FEW030 BKN120 22/19 A3002 NOSIG="
"2020-08-18 04:00:00","SKCL","METAR","METAR SKCL 180400Z 01003KT 9999 SCT030 BKN100 22/19 A3004 NOSIG="
"2020-08-18 05:00:00","SKCL","METAR","METAR SKCL 180500Z 05005KT 9999 SCT030 BKN100 22/19 A3003 NOSIG="
"2020-08-18 06:00:00","SKCL","METAR","METAR SKCL 180600Z 33007KT 9999 FEW030 BKN100 23/19 A3000 NOSIG="
"2020-08-18 07:00:00","SKCL","METAR","METAR SKCL 180700Z 36004KT 9999 FEW030 BKN100 21/18 A2999 NOSIG="
"2020-08-18 08:00:00","SKCL","METAR","METAR SKCL 180800Z 07004KT 9999 SCT030 BKN100 21/18 A2999 NOSIG="
"2020-08-18 09:00:00","SKCL","METAR","METAR SKCL 180900Z VRB02KT 9999 FEW030 BKN100 21/18 A2999 NOSIG="
"2020-08-18 10:00:00","SKCL","METAR","METAR SKCL 181000Z 21003KT 9999 FEW030 BKN120 21/18 A2999 NOSIG="
"2020-08-18 10:30:00","SKCL","SPECI","SPECI SKCL 181030Z VRB02KT 9999 FEW040 BKN120 20/18 A3000 REDZ NOSIG="
"2020-08-18 11:00:00","SKCL","METAR","METAR SKCL 181100Z 19004KT 9999 FEW040 BKN120 20/19 A3001 NOSIG="
"2020-08-18 12:00:00","SKCL","METAR","METAR SKCL 181200Z 14004KT 8000 VCFG BKN040 20/19 A3003 REDZ NOSIG="
"2020-08-18 13:00:00","SKCL","METAR","METAR SKCL 181300Z 00000KT 6000 FEW017 23/20 A3005 NOSIG RMK HZ="
"2020-08-18 14:00:00","SKCL","METAR","METAR SKCL 181400Z 05003KT 360V100 8000 SCT017 25/21 A3005 NOSIG RMK HZ="
"2020-08-18 15:00:00","SKCL","METAR","METAR SKCL 181500Z 08004KT 020V160 9000 SCT020 27/22 A3004 NOSIG RMK HZ="
"2020-08-18 16:00:00","SKCL","METAR","METAR SKCL 181600Z 06004KT 360V150 9000 BKN027 28/21 A3002 NOSIG RMK HZ="
"2020-08-18 17:00:00","SKCL","METAR","METAR SKCL 181700Z 01004KT 300V080 9999 SCT027TCU SCT100 28/20 A3001 NOSIG RMK TCU W/NW="
"2020-08-18 18:00:00","SKCL","METAR","METAR SKCL 181800Z 29006KT 250V340 9999 -RA BKN027 27/19 A2998 NOSIG="
"2020-08-18 19:00:00","SKCL","METAR","METAR SKCL 181900Z 32004KT 290V010 9999 SCT027TCU SCT060 28/21 A2994 NOSIG RMK TCU/E="
"2020-08-18 20:00:00","SKCL","METAR","METAR SKCL 182000Z 33011KT 7000 VCSH SCT027TCU SCT080 28/19 A2993 NOSIG RMK TCU/VCSH E="
"2020-08-18 21:00:00","SKCL","METAR","METAR SKCL 182100Z 01010KT 8000 VCSH SCT027 BKN080 27/19 A2993 NOSIG RMK VCSH NE/E/SE="
"2020-08-18 22:00:00","SKCL","METAR","METAR SKCL 182200Z 33013KT 8000 VCSH SCT025 BKN100 26/19 A2994 NOSIG RMK VCSH N/NE/SE="
"2020-08-18 23:00:00","SKCL","METAR","METAR SKCL 182300Z 02008KT 8000 VCSH BKN030 SCT100 24/19 A2996 REDZ NOSIG RMK VCSH/NE="
"2020-08-19 00:00:00","SKCL","METAR","METAR SKCL 190000Z 36008KT 340V050 9999 SCT030 BKN100 23/19 A2999 NOSIG="
"2020-08-19 01:00:00","SKCL","METAR","METAR SKCL 190100Z 36007KT 9999 SCT030 BKN100 23/19 A2999 NOSIG="
"2020-08-19 02:00:00","SKCL","METAR","METAR SKCL 190200Z 06005KT 9999 FEW030 BKN100 22/18 A3002 NOSIG="
"2020-08-19 03:00:00","SKCL","METAR","METAR SKCL 190300Z 36008KT 9999 FEW030 BKN100 22/19 A3005 NOSIG="
"2020-08-19 04:00:00","SKCL","METAR","METAR SKCL 190400Z 03003KT 9999 SCT030 BKN100 22/19 A3006 NOSIG="
"2020-08-19 05:00:00","SKCL","METAR","METAR SKCL 190500Z VRB02KT 9999 SCT030 BKN100 21/19 A3005 NOSIG="
