"Fecha hora","Aeropuerto","Tipo Informe","Informe"
"2020-08-18 13:00:00","SKVP","METAR","METAR SKVP 181300Z 21004KT 180V260 7000 VCFG SCT010 BKN070 25/25 A2995="
"2020-08-18 14:00:00","SKVP","METAR","METAR SKVP 181400Z 00000KT 9999 FEW015 BKN200 27/24 A2993="
"2020-08-18 15:00:00","SKVP","METAR","METAR SKVP 181500Z 08005KT 9999 FEW015 SCT200 29/25 A2992="
"2020-08-18 16:00:00","SKVP","METAR","METAR SKVP 181600Z 11006KT 070V140 9999 FEW015 SCT200 31/24 A2990="
"2020-08-18 17:00:00","SKVP","METAR","METAR SKVP 181700Z 12004KT 9999 FEW020 SCT200 33/24 A2988="
"2020-08-18 18:00:00","SKVP","METAR","METAR SKVP 181800Z 15007KT 9999 FEW020TCU BKN200 33/23 A2986 RMK TCU/NE/E="
"2020-08-18 19:00:00","SKVP","METAR","METAR SKVP 181900Z 13005KT 100V170 9999 FEW020TCU BKN200 32/23 A2984 RMK TCU/NE/E="
"2020-08-18 20:00:00","SKVP","METAR","METAR SKVP 182000Z 22009KT 9999 FEW020 SCT200 32/24 A2983="
"2020-08-19 16:00:00","SKVP","METAR","METAR SKVP 191600Z 04003KT 9999 FEW020 BKN100 29/24 A2993="
"2020-08-20 13:00:00","SKVP","METAR","METAR SKVP 201300Z 25004KT  7000 VCFG SCT010 BKN070 26/25 A2998="
"2020-08-20 14:00:00","SKVP","METAR","METAR SKVP 201400Z 23004KT 9999 FEW010 SCT200 27/24 A2988="
"2020-08-20 15:00:00","SKVP","METAR","METAR SKVP 201500Z 19003KT 9999 FEW010 SCT200 28/24 A2997="
"2020-08-20 16:00:00","SKVP","METAR","METAR SKVP 201600Z 23004KT 9999 FEW020 SCT200 30/24 A2995="
"2020-08-20 17:00:00","SKVP","METAR","METAR SKVP 201700Z 18004KT 9999 FEW010 SCT200 31/23 A2992="
"2020-08-20 18:00:00","SKVP","METAR","METAR SKVP 201800Z 22004KT 9999 FEW015 SCT100 32/22 A2988="
"2020-08-20 19:00:00","SKVP","METAR","METAR SKVP 201900Z 16005KT 9999 -DZ FEW015TCU SCT100 31/24 A2985 RMK TCU/E/SE="
"2020-08-20 20:00:00","SKVP","METAR","METAR SKVP 202000Z 18007KT 9999 FEW015TC SCT200 34/23 A2984 RMK TCU/E/SE="
