"Fecha hora","Aeropuerto","Tipo Informe","Informe"
"2020-09-01 11:00:00","SKMR","METAR","METAR SKMR 011100Z VRB02KT 9999 SCT012 BKN200 24/24 A2983="
"2020-09-01 12:00:00","SKMR","METAR","METAR SKMR 011200Z 17004KT 9999 SCT015 BKN200 25/25 A2984="
"2020-09-01 13:00:00","SKMR","METAR","METAR SKMR 011300Z 20003KT 9999 BKN015 SCT200 27/25 A2987="
"2020-09-01 14:00:00","SKMR","METAR","METAR SKMR 011400Z 17005KT 9999 BKN015 29/25 A2987="
"2020-09-01 15:00:00","SKMR","METAR","METAR SKMR 011500Z 00000KT 9999 SCT020 30/24 A2987="
"2020-09-01 16:00:00","SKMR","METAR","METAR SKMR 011600Z 00000KT 9999 SCT020 32/24 A2986="
"2020-09-01 17:00:00","SKMR","METAR","METAR SKMR 011700Z 00000KT 9999 SCT020 34/23 A2984="
"2020-09-01 18:00:00","SKMR","METAR","METAR SKMR 011800Z 30007KT 9999 BKN020 32/24 A2981="
"2020-09-01 19:00:00","SKMR","METAR","METAR SKMR 011900Z 32005KT 9999 SCT020 34/25 A2978="
"2020-09-01 20:00:00","SKMR","METAR","METAR SKMR 012000Z 28012KT 9999 VCSH BKN020TCU 31/26 A2976 RMK TCU VCSH/E/S/N="
"2020-09-01 21:00:00","SKMR","METAR","METAR SKMR 012100Z 31011KT 9999 VCSH SCT020TCU 30/23 A2975  RMK TCU VCSH/N="
"2020-09-01 22:00:00","SKMR","METAR","METAR SKMR 012200Z VRB02KT 9999 FEW020 SCT200 28/24 A2976="
"2020-09-01 23:00:00","SKMR","METAR","METAR SKMR 012300Z 32006KT 9999 FEW020 BKN200 28/25 A2978="
"2020-09-02 11:00:00","SKMR","METAR","METAR SKMR 021100Z VRB02KT 9999 SCT012 OVC080 23/23 A2987="
"2020-09-02 12:00:00","SKMR","METAR","METAR SKMR 021200Z 00000KT 9999 -DZ SCT012 OVC080 23/23 A2987="
"2020-09-02 13:00:00","SKMR","METAR","METAR SKMR 021300Z VRB02KT 9999 VCSH SCT012 OVC080 24/24 A2990 REDZ RMK VCSH/E/SE="
"2020-09-02 14:00:00","SKMR","METAR","METAR SKMR 021400Z VRB02KT 9999 VCSH SCT012 OVC080 25/24 A2991 RMK VCSH/W/NW="
"2020-09-02 15:00:00","SKMR","METAR","METAR SKSM 021500Z 19012KT 9999 SCT017 BKN200 29/26 A2992="
"2020-09-02 16:00:00","SKMR","METAR","METAR SKMR 021600Z VRB02KT 9999 BKN012 BKN080 26/24 A2987="
"2020-09-02 17:00:00","SKMR","METAR","METAR SKSM 021700Z 18014KT 9999 SCT017 BKN200 29/26 A2989="
"2020-09-02 18:00:00","SKMR","METAR","METAR SKMR 021800Z 17006KT 9999 BKN015 SCT080 28/24 A2982="
"2020-09-02 19:00:00","SKMR","METAR","METAR SKMR 021900Z 15005KT 9999 BKN020 29/24 A2979="
"2020-09-02 20:00:00","SKMR","METAR","METAR SKMR 022000Z 09004KT 9999 SCT020 SCT200 30/23 A2976="
"2020-09-02 21:00:00","SKMR","METAR","METAR SKMR 022100Z 05003KT 9999 SCT020 SCT200 30/25 A2974="
"2020-09-02 22:00:00","SKMR","METAR","METAR SKMR 022200Z 10004KT 9999 SCT020 SCT200 29/24 A2974="
"2020-09-02 23:00:00","SKMR","METAR","METAR SKMR 022300Z 09004KT 9999 SCT020 BKN200 28/24 A2976="
"2020-09-03 11:00:00","SKMR","METAR","METAR SKMR 031100Z 00000KT 0200 FG FEW012 23/23 A2982 RMK AD BLW MNM MET="
"2020-09-03 12:00:00","SKMR","METAR","METAR SKMR 031200Z 00000KT 0800 FG FEW012 24/24 A2983 RMK AD BLW MNM MET="
"2020-09-03 12:30:00","SKMR","SPECI","SPECI SKMR 031230Z 00000KT 9999 FEW012 25/25 A2984="
"2020-09-03 13:00:00","SKMR","METAR","METAR SKMR 031300Z 16003KT 9999 FEW012 26/24 A2984="
"2020-09-03 14:00:00","SKMR","METAR","METAR SKMR 031400Z 15004KT 9999 FEW015 28/24 A2984="
"2020-09-03 15:00:00","SKMR","METAR","METAR SKMR 031500Z 12003KT 9999 FEW020 29/25 A2983="
"2020-09-03 16:00:00","SKMR","METAR","METAR SKMR 031600Z 00000KT 9999 SCT020 30/24 A2983="
"2020-09-03 17:00:00","SKMR","METAR","METAR SKMR 031700Z 35003KT 9999 SCT020 31/24 A2980="
"2020-09-03 18:00:00","SKMR","METAR","METAR SKMR 031800Z 04003KT 9999 SCT020 33/24 A2976="
"2020-09-03 19:00:00","SKMR","METAR","METAR SKMR 031900Z 34007KT 9999 SCT020 34/23 A2973="
"2020-09-03 20:00:00","SKMR","METAR","METAR SKMR 032000Z 00000KT 9999 SCT020 32/23 A2969="
"2020-09-03 21:00:00","SKMR","METAR","METAR SKMR 032100Z 27006KT 9999 TS FEW017CB SCT020 33/22 A2968 RMK CB VCSH/NW="
"2020-09-03 23:00:00","SKMR","METAR","METAR SKMR 032300Z 00000KT 8000 TS SCT17CB 25/24 A2974 RERA RMK CB VCSH/SE/S="
