"Fecha hora","Aeropuerto","Tipo Informe","Informe"
"2020-09-01 00:00:00","SKPV","METAR","METAR SKPV 010000Z 09004KT  9999 FEW017 28/26 A2987="
"2020-09-01 11:00:00","SKPV","METAR","METAR SKPV 011100Z VRB04KT 9999 FEW017 28/25 A2987="
"2020-09-01 12:00:00","SKPV","METAR","METAR SKPV 011200Z VRB04KT 9999 FEW017 28/25 A2988="
"2020-09-01 13:00:00","SKPV","METAR","METAR SKPV 011300Z 35006KT 300V070 9999 FEW017 SCT200 29/26 A2989="
"2020-09-01 14:00:00","SKPV","METAR","METAR SKPV 011400Z 34008KT 300V050 9999 FEW017 SCT200 30/26 A2990="
"2020-09-01 15:00:00","SKPV","METAR","METAR SKPV 011500Z 35004KT 320V060 9999 FEW017 BKN200 30/27 A2990="
"2020-09-01 16:00:00","SKPV","METAR","METAR SKPV 011600Z 34008KT 310V050 9999 FEW017 BKN200 30/26 A2990="
"2020-09-01 17:00:00","SKPV","METAR","METAR SKPV 011700Z 34010KT 320V060 9999 FEW018 BKN200 31/27 A2989="
"2020-09-01 18:00:00","SKPV","METAR","METAR SKPV 011800Z 34008KT 290V020 9999 FEW017 BKN200 31/27 A2987="
"2020-09-01 19:00:00","SKPV","METAR","METAR SKPV 011900Z 34008KT 310V030 9999 FEW017 BKN200 31/26 A2985="
"2020-09-01 20:00:00","SKPV","METAR","METAR SKPV 012000Z 35010KT 310V020 9999 FEW017 BKN200 30/26 A2984="
"2020-09-01 21:00:00","SKPV","METAR","METAR SKPV 012100Z 35008KT 300V030 9999 FEW017 BKN200 30/26 A2982="
"2020-09-01 22:00:00","SKPV","METAR","METAR SKPV 012200Z 32008KT 270V040 9999 FEW017 BKN200 30/26 A2981="
"2020-09-01 23:00:00","SKPV","METAR","METAR SKPV 012300Z VRB08KT 9999 FEW017 BKN200 29/26 A2983="
"2020-09-02 00:00:00","SKPV","METAR","METAR SKPV 020000Z 31004KT 9999 FEW017 BKN200 28/25 A2983="
"2020-09-02 11:00:00","SKPV","METAR","METAR SKPV 021100Z VRB02KT 9999 FEW017 BKN200 25/25 A2981="
"2020-09-02 12:00:00","SKPV","METAR","METAR SKPV 021200Z VRB02KT 9999 FEW017 BKN200 25/25 A2981="
"2020-09-02 13:00:00","SKPV","METAR","METAR SKPV 021300Z 14004KT 100V220 9999 FEW017 BKN200 27/26 A2983="
"2020-09-02 14:00:00","SKPV","METAR","METAR SKPV 021400Z 12004KT 9999 FEW017 BKN200 30/27 A2984="
"2020-09-02 15:00:00","SKPV","METAR","METAR SKPV 021500Z 14004KT 9999 FEW017 BKN200 30/27 A2985="
"2020-09-02 16:00:00","SKPV","METAR","METAR SKPV 021600Z 14004KT 080V210 9999 FEW018 BKN200 31/26 A2985="
"2020-09-02 17:00:00","SKPV","METAR","METAR SKPV 021700Z 14004KT 020V210 9999 FEW018 BKN200 32/27 A2984="
"2020-09-02 18:00:00","SKPV","METAR","METAR SKPV 021800Z 12008KT 090V190 9999 FEW017 BKN200 32/27 A2983="
"2020-09-02 19:00:00","SKPV","METAR","METAR SKPV 021900Z 31004KT 280V360 9999 FEW017 BKN200 29/26 A2981="
"2020-09-02 20:00:00","SKPV","METAR","METAR SKPV 022000Z 11004KT 9999 SCT017 BKN200 30/26 A2978="
"2020-09-02 21:00:00","SKPV","METAR","METAR SKPV 022100Z 11004KT 9999 BKN017TCU SCT200 29/25 A2978="
"2020-09-02 22:00:00","SKPV","METAR","METAR SKPV 022200Z 11004KT 9999 TS SCT015CB BKN200 30/27 A2978 RMK CB/W="
"2020-09-02 23:00:00","SKPV","METAR","METAR SKPV 022300Z 00000KT 9999 FEW017 BKN200 28/25 A2977 RETS="
"2020-09-03 00:00:00","SKPV","METAR","METAR SKPV 030000Z 00000KT 9999 FEW017 BKN200 28/25 A2977="
"2020-09-03 11:00:00","SKPV","METAR","METAR SKPV 031100Z VRB02KT 9999 FEW017 BKN200 24/24 A2980="
"2020-09-03 12:00:00","SKPV","METAR","METAR SKPV 031200Z VRB02KT 9999 FEW017 BKN200 25/24 A2980="
"2020-09-03 13:00:00","SKPV","METAR","MMETAR SKPV 031300Z VRB02KT 9999 FEW017 BKN200 27/26 A2981="
"2020-09-03 14:00:00","SKPV","METAR","METAR SKPV 031400Z VRB04KT 9999 FEW017 BKN200 29/26 A2982="
"2020-09-03 15:00:00","SKPV","METAR","METAR SKPV 031500Z VRB04KT 9999 FEW017 BKN200 31/27 A2983="
"2020-09-03 16:00:00","SKPV","METAR","METAR SKPV 031600Z VRB06KT 9999 FEW018 BKN200 32/27 A2983="
"2020-09-03 17:00:00","SKPV","METAR","METAR SKPV 031700Z VRB04KT 9999 FEW018 BKN200 32/27 A2982="
"2020-09-03 18:00:00","SKPV","METAR","METAR SKPV 031800Z VRB04KT 9999 FEW018 BKN200 32/27 A2981="
"2020-09-03 19:00:00","SKPV","METAR","METAR SKPV 031900Z VRB06KT 9999 -DZ SCT017 BKN200 30/26 A2979="
"2020-09-03 20:00:00","SKPV","METAR","METAR SKPV 032000Z VRB04KT 9999 FEW017 BKN200 31/27 A2977="
"2020-09-03 21:00:00","SKPV","METAR","METAR SKPV 032100Z VRB04KT 9999 SCT017 BKN200 29/26 A2975="
"2020-09-03 22:00:00","SKPV","METAR","METAR SKPV 032200Z VRB04KT 9999 FEW017 BKN200 29/26 A2975="
"2020-09-03 23:00:00","SKPV","METAR","METAR SKPV 032300Z 08004KT 020V150 9999 FEW017 OVC200 29/26 A2976="
"2020-09-04 00:00:00","SKPV","METAR","METAR SKPV 040000Z VRB04KT 9999 FEW017 OVC200 28/25 A2977="
