"Fecha hora","Aeropuerto","Tipo Informe","Informe"
"2020-09-01 00:00:00","SKSP","METAR","METAR SKSP 010000Z 05007KT 9999 FEW018 SCT200 29/25 A2986="
"2020-09-01 01:00:00","SKSP","METAR","METAR SKSP 010100Z 04005KT 020V080 9999 FEW016 SCT200 29/25 A2988="
"2020-09-01 02:00:00","SKSP","METAR","METAR SKSP 010200Z 05005KT 9999 FEW016 SCT200 29/25 A2990="
"2020-09-01 03:00:00","SKSP","METAR","METAR SKSP 010300Z 04005KT 9999 FEW016 SCT200 29/25 A2992="
"2020-09-01 04:00:00","SKSP","METAR","METAR SKSP 010400Z VRB02KT 9999 SCT016 SCT200 28/24 A2992="
"2020-09-01 05:00:00","SKSP","METAR","METAR SKSP 010500Z 05008KT 020V080 9999 FEW016 SCT200 28/25 A2992="
"2020-09-01 07:00:00","SKSP","METAR","METAR SKSP 010700Z 010700Z 02004KT 9999 FEW016 SCT200 28/24 A2989="
"2020-09-01 08:00:00","SKSP","METAR","METAR SKSP 010800Z 03008KT 350V060 9999 SCT016 SCT20 28/25 A2987="
"2020-09-01 09:00:00","SKSP","METAR","METAR SKSP 010900Z 01007KT 350V050 9999 FEW016 27/23 A2986="
"2020-09-01 10:00:00","SKSP","METAR","METAR SKSP 011000Z 02006KT 010V070 9999 FEW016 27/23 A2986="
"2020-09-01 11:00:00","SKSP","METAR","METAR SKSP 011100Z 03004KT 9999 FEW016 28/25 A2987="
"2020-09-01 12:00:00","SKSP","METAR","METAR SKSP 011200Z 04007KT 9999 FEW016 28/24 A2987="
"2020-09-01 13:00:00","SKSP","METAR","METAR SKSP 011300Z 05007KT 9999 FEW018 29/24 A2989="
"2020-09-01 14:00:00","SKSP","METAR","METAR SKSP 011400Z 05007KT 9999 FEW018 SCT200 30/25 A2990="
"2020-09-01 15:00:00","SKSP","METAR","METAR SKSP 011500Z 04006KT 010V070 9999 FEW018 SCT200 31/24 A2990="
"2020-09-01 16:00:00","SKSP","METAR","METAR SKSP 011600Z 03006KT 340V080 9999 FEW018 SCT200 31/25 A2990="
"2020-09-01 17:00:00","SKSP","METAR","METAR SKSP 011700Z 01006KT 330V080 9999 FEW018 BKN200 31/26 A2989="
"2020-09-01 18:00:00","SKSP","METAR","METAR SKSP 011800Z 36006KT 330V040 9999 FEW018 SCT200 31/25 A2987="
"2020-09-01 19:00:00","SKSP","METAR","METAR SKSP 011900Z 36007KT 300V030 9999 FEW018 SCT200 31/25 A2986="
