"Fecha hora","Aeropuerto","Tipo Informe","Informe"
"2020-09-01 13:00:00","SKVP","METAR","METAR SKVP 011300Z 00000KT 9999 FEW020 27/23 A2994="
"2020-09-01 14:00:00","SKVP","METAR","METAR SKVP 011400Z 07006KT 020V100 9999 FEW020 29/23 A2994="
"2020-09-01 15:00:00","SKVP","METAR","METAR SKVP 011500Z 07003KT 9999 FEW020 31/23 A2993="
"2020-09-01 16:00:00","SKVP","METAR","METAR SKVP 011600Z 09004KT 9999 FEW020 32/22 A2993="
"2020-09-01 17:00:00","SKVP","METAR","METAR SKVP 011700Z 00000KT 9999 FEW020 34/22 A2987="
"2020-09-01 18:00:00","SKVP","METAR","METAR SKVP 011800Z 05005KT 010V120 9999 FEW020 35/21 A2983="
"2020-09-01 19:00:00","SKVP","METAR","METAR SKVP 011900Z 13005KT 9999 FEW020 36/20 A2980="
"2020-09-01 20:00:00","SKVP","METAR","METAR SKVP 012000Z 18006KT 9999 FEW020TCU SCT200 35/21 A2976 RMK TCU/NE/E="
"2020-09-03 13:00:00","SKVP","METAR","METAR SKVP 031300Z 08007KT 9999 FEW020 SCT200 27/23 A2990="
"2020-09-03 14:00:00","SKVP","METAR","METAR SKVP 031400Z 09005KT 040V130 9999 FEW020 SCT100 28/23 A2991="
"2020-09-03 15:00:00","SKVP","METAR","METAR SKVP 031500Z 00000KT 9999 FEW020 SCT100 29/23 A2991="
"2020-09-03 16:00:00","SKVP","METAR","METAR SKVP 031600Z 11003KT 9999 FEW020 31/22 A2988="
"2020-09-03 17:00:00","SKVP","METAR","METAR SKVP 031700Z 00000KT 9999 FEW020 SCT100 31/21 A2985="
"2020-09-03 18:00:00","SKVP","METAR","METAR SKVP 031800Z 23003KT 9999 FEW020 32/22 A2981="
"2020-09-03 19:00:00","SKVP","METAR","METAR SKVP 031900Z 19007KT 150V240 9999 FEW020 33/21 A2978="
"2020-09-03 20:00:00","SKVP","METAR","METAR SKVP 032000Z 25006KT 9999 FEW020TCU 33/21 A2977 RMK TCU/N/NE="
