Fecha hora inicio,Aeropuerto,Tipo Informe,Informe
2020-08- 18 00:00:00,SKRG,METAR,METAR SKRG 180000Z 04004KT 9999 FEW015 17/15 A3030 NOSIG=
2020-08- 18 00:00:00,SKPC,METAR,METAR SKPC 180000Z 00000KT 9999 FEW017 BKN070 27/25 A2977=
2020-08- 18 00:00:00,SKSP,METAR,METAR SKSP 180000Z 06006KT 9999 FEW016 BKN200 29/25 A2986=
2020-08- 18 00:00:00,SKUI,METAR,METAR SKUI 180000Z VRB02KT 9999 VCSH SCT015TCU OVC200 27/24 A2982 RMK TCU VCSH/N=
2020-08- 18 00:00:00,SKBO,METAR,METAR SKBO 180000Z VRB02KT 9999 FEW017 BKN080 13/12 A3032 NOSIG=
2020-08- 18 00:00:00,SKCL,METAR,METAR SKCL 180000Z 05004KT 9999 FEW030 BKN120 23/18 A2995 NOSIG=
2020-08- 18 00:00:00,SKPV,METAR,METAR SKPV 180000Z 05004KT 9999 FEW017 OVC200 28/25 A2988=
2020-08- 18 00:00:00,SKLT,METAR,METAR SKLT 180000Z VRB02KT 9999 FEW013 SCT100 24/24 A2981=
2020-08- 18 00:00:00,SKBQ,METAR,METAR SKBQ 180000Z VRB02KT 9999  SCT015 FEW020CB BKN070 24/24 A2985 NOSIG RMK LTNG CB/NE=
2020-08- 18 01:00:00,SKCL,METAR,METAR SKCL 180100Z 01006KT 9999 SCT030 BKN120 23/19 A2997 NOSIG=
2020-08- 18 01:00:00,SKSP,METAR,METAR SKSP 180100Z 06006KT 9999 FEW014 BKN200 28/25 A2989=
2020-08- 18 01:00:00,SKRG,METAR,METAR SKRG 180100Z VRB02KT 9999 FEW015 SCT080 16/15 A3030 NOSIG=
2020-08- 18 01:00:00,SKPC,METAR,METAR SKPC 180100Z 14004KT 9999 FEW017 BKN070 27/25 A2981 RMK LTNG/NW=
2020-08- 18 01:00:00,SKBO,METAR,METAR SKBO 180100Z VRB02KT 9999 SCT017 SCT080 13/12 A3032 NOSIG=
2020-08- 18 01:00:00,SKLT,METAR,METAR SKLT 180100Z 18004KT 9999 FEW013 SCT100 24/24 A2982=
2020-08- 18 01:00:00,SKBQ,METAR,METAR SKBQ 180100Z VRB02KT 9999  SCT015 BKN070 24/23 A2986 RERA NOSIG=
2020-08- 18 02:00:00,SKBQ,METAR,METAR SKBQ 180200Z 25003KT 9999 SCT015 BKN070 24/24 A2986 NOSIG=
2020-08- 18 02:00:00,SKCL,METAR,METAR SKCL 180200Z 01003KT 9999 FEW030 BKN120 23/18 A3000 NOSIG=
2020-08- 18 02:00:00,SKBO,METAR,METAR SKBO 180200Z VRB02KT 9999 SCT017 SCT070 12/11 A3035 NOSIG=
2020-08- 18 02:00:00,SKSP,METAR,METAR SKSP 180200Z 06006KT 040V100 9999 SCT014 SCT200 28/25 A2990=
2020-08- 18 02:00:00,SKLT,METAR,METAR SKLT 180200Z VRB02KT 9999 FEW013 SCT100 24/24 A2984=
2020-08- 18 02:00:00,SKPC,METAR,METAR SKPC 180200Z 00000KT 9999 FEW017 BKN070 27/25 A2982 RMK LTNG/NW=
2020-08- 18 02:00:00,SKRG,METAR,METAR SKRG 180200Z VRB02KT 9999 FEW015 SCT080 16/15 A3032 NOSIG=
