"Fecha hora","Aeropuerto","Tipo Informe","Informe"
"2020-09-01 00:00:00","SKBO","METAR","METAR SKBO 010000Z 24005KT 9999 VCSH BKN020 14/12 A3031 REDZ NOSIG RMK VCSH/S/N="
"2020-09-01 01:00:00","SKBO","METAR","METAR SKBO 010100Z 23007KT 9999 VCSH BKN020 13/09 A3034 NOSIG RMK VCSH/E="
"2020-09-01 02:00:00","SKBO","METAR","METAR SKBO 010200Z VRB02KT 9999 VCSH SCT020 SCT070 12/09 A3036 NOSIG RMK VCSH/NE="
"2020-09-01 03:00:00","SKBO","METAR","METAR SKBO 010300Z VRB02KT 9999 FEW020 BKN070 12/10 A3038 NOSIG="
"2020-09-01 04:00:00","SKBO","METAR","METAR SKBO 010400Z VRB02KT 9999 FEW020 BKN070 12/10 A3039 NOSIG="
"2020-09-01 05:00:00","SKBO","METAR","METAR SKBO 010500Z VRB02KT 9999 FEW020 BKN070 12/10 A3038 NOSIG="
"2020-09-01 06:00:00","SKBO","METAR","METAR SKBO 010600Z VRB02KT 9999 FEW020 BKN070 11/10 A3036 NOSIG="
"2020-09-01 07:00:00","SKBO","METAR","METAR SKBO 010700Z 07003KT 9999 FEW020 BKN070 11/10 A3034 NOSIG="
"2020-09-01 08:00:00","SKBO","METAR","METAR SKBO 010800Z 05003KT 9999 SCT020 BKN070 12/10 A3034 NOSIG="
"2020-09-01 09:00:00","SKBO","METAR","METAR SKBO 010900Z VRB02KT 9999 SCT020 11/10 A3033 NOSIG="
"2020-09-01 10:00:00","SKBO","METAR","METAR SKBO 011000Z 34003KT 9999 SCT020 11/09 A3034 NOSIG="
"2020-09-01 10:30:00","SKBO","SPECI","SPECI SKBO 011030Z 02003KT 9999 SCT020 11/09 A3034 NOSIG="
"2020-09-01 11:00:00","SKBO","METAR","METAR SKBO 011100Z VRB02KT 9999 SCT020 10/09 A3040 NOSIG="
"2020-09-01 12:00:00","SKBO","METAR","METAR SKBO 011200Z 11004KT 9999 SCT020 SCT200 13/10 A3037 NOSIG="
"2020-09-01 13:00:00","SKBO","METAR","METAR SKBO 011300Z 14007KT 9999 FEW017 BKN025 15/08 A3039 NOSIG="
"2020-09-01 14:00:00","SKBO","METAR","METAR SKBO 011400Z 16007KT 9999 FEW017 SCT025 18/09 A3039 NOSIG="
"2020-09-01 15:00:00","SKBO","METAR","METAR SKBO 011500Z 16006KT 9999 BKN020 SCT200 18/07 A3040 NOSIG="
"2020-09-01 16:00:00","SKBO","METAR","METAR SKBO 011600Z 17009KT 140V200 9999 BKN020 SCT080 17/08 A3039 NOSIG="
"2020-09-01 17:00:00","SKBO","METAR","METAR SKBO 011700Z 18009KT 9999 BKN020 SCT080 17/08 A3037 NOSIG="
"2020-09-01 18:00:00","SKBO","METAR","METAR SKBO 011800Z 07004KT 9999 SCT020 SCT080 19/09 A3033 NOSIG="
"2020-09-01 19:00:00","SKBO","METAR","METAR SKBO 011900Z 19005KT 9999 BKN023 20/07 A3029 NOSIG="
"2020-09-01 20:00:00","SKBO","METAR","METAR SKBO 012000Z 23006KT 9999 SCT023 20/09 A3026 NOSIG="
"2020-09-01 21:00:00","SKBO","METAR","METAR SKBO 012100Z 24010KT 9999 SCT023TCU 19/11 A3024 NOSIG RMK TCU/SE="
"2020-09-01 22:00:00","SKBO","METAR","METAR SKBO 012200Z 24009KT 9999 FEW023TCU BKN200 18/10 A3024 NOSIG RMK TCU/E="
"2020-09-01 23:00:00","SKBO","METAR","METAR SKBO 012300Z 25008KT 9999 FEW020 BKN200 16/11 A3026 NOSIG="
"2020-09-02 00:00:00","SKBO","METAR","METAR SKBO 020000Z 28007KT 9999 BKN017 SCT080 15/12 A3030 NOSIG="
"2020-09-02 00:15:00","SKBO","SPECI","SPECI SKBO 020015Z 29008KT 9999 -TSRA FEW015CB BKN017 15/12 A3030 NOSIG RMK CB/NE="
"2020-09-02 01:00:00","SKBO","METAR","METAR SKBO 020100Z 25006KT 9999 -DZ BKN017 BKN070 14/11 A3031 RETSRA NOSIG="
"2020-09-02 02:00:00","SKBO","METAR","METAR SKBO 020200Z 27004KT 9999 -DZ BKN017 SCT070 14/11 A3034 NOSIG="
"2020-09-02 03:00:00","SKBO","METAR","METAR SKBO 020300Z 35004KT 9999 BKN017 SCT070 13/11 A3036 REDZ NOSIG="
"2020-09-02 04:00:00","SKBO","METAR","METAR SKBO 020400Z VRB02KT 9999 SCT017 BKN070 13/11 A3034 NOSIG="
"2020-09-02 05:00:00","SKBO","METAR","METAR SKBO 020500Z VRB02KT 9999 SCT017 BKN070 12/11 A3035 NOSIG="
"2020-09-02 06:00:00","SKBO","METAR","METAR SKBO 020600Z VRB02KT 9999 SCT017 BKN070 12/12 A3030 NOSIG="
"2020-09-02 07:00:00","SKBO","METAR","METAR SKBO 020700Z VRB02KT 9999 BKN017 SCT070 12/11 A3032 NOSIG="
