"Fecha hora","Aeropuerto","Tipo Informe","Informe"
"2020-09-01 12:00:00","SKEJ","METAR","METAR SKEJ 011200Z 15003KT 9999 FEW025 25/23 A2986="
"2020-09-01 13:00:00","SKEJ","METAR","METAR SKEJ 011300Z VRB02KT 9999 FEW025 27/24 A2987="
"2020-09-01 14:00:00","SKEJ","METAR","METAR SKEJ 011400Z 18003KT FEW020 28/23 A2986="
"2020-09-01 15:00:00","SKEJ","METAR","METAR SKEJ 011500Z 25004KT 9999 SCT017 29/23 A2986="
"2020-09-01 16:00:00","SKEJ","METAR","METAR SKEJ 011600Z 26004KT 9999 SCT017 31/24 A2985="
"2020-09-01 17:00:00","SKEJ","METAR","METAR SKEJ 011700Z 26003KT 9999 SCT020 31/23 A2982="
"2020-09-01 18:00:00","SKEJ","METAR","METAR SKEJ 011800Z 23005KT 9999 FEW020 32/22 A2979="
"2020-09-01 19:00:00","SKEJ","METAR","METAR SKEJ 011900Z 26003KT 9999 FEW020 33/21 A2974="
"2020-09-01 20:00:00","SKEJ","METAR","METAR SKEJ 012000Z 24003KT 9999 FEW020 33/21 A2971="
"2020-09-02 14:00:00","SKEJ","METAR","METAR SKEJ 021400Z VRB02KT 8000 DZ BKN008 23/22 A2996="
"2020-09-02 15:00:00","SKEJ","METAR","METAR SKEJ 021500Z 08003KT 9999 BKN008 23/23 A2995 REDZ="
"2020-09-02 16:00:00","SKEJ","METAR","METAR SKEJ 021600Z VRB02KT 9999 BKN008 25/24 A2994="
"2020-09-02 17:00:00","SKEJ","METAR","METAR SKEJ 021700Z VRB02KT 9999 BKN008 26/23 A2990="
"2020-09-02 18:00:00","SKEJ","METAR","METAR SKEJ 021800Z 27004KT 9999 SCT010 SCT100 26/23 A2985="
"2020-09-02 19:00:00","SKEJ","METAR","METAR SKEJ 021900Z 27004KT 9999 SCT015 27/23 A2981="
"2020-09-02 20:00:00","SKEJ","METAR","METAR SKEJ 022000Z 29004KT 9999 SCT015 28/23 A2977="
"2020-09-03 12:00:00","SKEJ","METAR","METAR SKEJ 031200Z VRB02KT 9999 FEW015 SCT100 25/24 A2984="
"2020-09-03 13:00:00","SKEJ","METAR","METAR SKEJ 031300Z VRB02KT 9999 FEW015 26/24 A2986="
"2020-09-03 14:00:00","SKEJ","METAR","METAR SKEJ 031400Z 00000KT 9999 SCT015 27/24 A2987="
"2020-09-03 15:00:00","SKEJ","METAR","METAR SKEJ 031500Z 27003KT 9999 SCT017 28/23 A2985="
"2020-09-03 16:00:00","SKEJ","METAR","METAR SKEJ 031600Z VRB02KT 9999 SCT017 29/22 A2983="
"2020-09-03 17:00:00","SKEJ","METAR","METAR SKEJ 031700Z VRB02KT 9999 SCT017 31/23 A2980="
"2020-09-03 18:00:00","SKEJ","METAR","METAR SKEJ 031800Z 27003KT 9999 FEW020 31/23 A2976="
"2020-09-03 19:00:00","SKEJ","METAR","METAR SKEJ 031900Z 22004KT 9999 FEW020 32/22 A2971="
"2020-09-03 20:00:00","SKEJ","METAR","METAR SKEJ 032000Z 02003KT 9999 FEW020 32/22 A2968="
