"Fecha hora","Aeropuerto","Tipo Informe","Informe"
"2020-09-01 00:00:00","SKBQ","METAR","METAR SKBQ 010000Z 35006KT 9999 FEW015 28/24 A2983 NOSIG="
"2020-09-01 01:00:00","SKBQ","METAR","METAR SKBQ 010100Z 34005KT 9999 FEW015 27/24 A2984 NOSIG="
"2020-09-01 02:00:00","SKBQ","METAR","METAR SKBQ 010200Z 35005KT 9999 FEW015 27/25 A2987 NOSIG="
"2020-09-01 03:00:00","SKBQ","METAR","METAR SKBQ 010300Z 34005KT 9999 FEW015 27/25 A2987 NOSIG="
"2020-09-01 04:00:00","SKBQ","METAR","METAR SKBQ 010400Z 34004KT 9999 FEW015 27/25 A2987 NOSIG="
"2020-09-01 05:00:00","SKBQ","METAR","METAR SKBQ 010500Z 35004KT 9999 FEW015 27/25 A2987 NOSIG="
"2020-09-01 06:00:00","SKBQ","METAR","METAR SKBQ 010600Z VRB02KT 9999 FEW015 26/24 A2985 NOSIG="
"2020-09-01 07:00:00","SKBQ","METAR","METAR SKBQ 010700Z VRB02KT 9999 FEW015 26/24 A2983 NOSIG="
"2020-09-01 08:00:00","SKBQ","METAR","METAR SKBQ 010800Z VRB02KT CAVOK 25/24 A2983 NOSIG="
"2020-09-01 09:00:00","SKBQ","METAR","METAR SKBQ 010900Z 00000KT 9999 FEW015 25/24 A2983 NOSIG="
"2020-09-01 10:00:00","SKBQ","METAR","METAR SKBQ 011000Z VRB02KT 9999 FEW015 24/24 A2984 NOSIG="
"2020-09-01 11:00:00","SKBQ","METAR","METAR SKBQ 011100Z VRB03KT 9999 FEW015 24/24 A2985 NOSIG="
"2020-09-01 12:00:00","SKBQ","METAR","METAR SKBQ 011200Z VRB01KT 8000 NSC 26/25 A2985 NOSIG RMK HZ="
"2020-09-01 13:00:00","SKBQ","METAR","METAR SKBQ 011300Z 02004KT 9999 FEW015 29/25 A2987 NOSIG="
"2020-09-01 14:00:00","SKBQ","METAR","METAR SKBQ 011400Z 02005KT 9999 FEW015 30/24 A2987 NOSIG="
"2020-09-01 15:00:00","SKBQ","METAR","METAR SKBQ 011500Z VRB02KT 9999 SCT015 30/25 A2987 NOSIG="
"2020-09-01 16:00:00","SKBQ","METAR","METAR SKBQ 011600Z 03007KT 9999 SCT015 31/24 A2985 NOSIG="
"2020-09-01 17:00:00","SKBQ","METAR","METAR SKBQ 011700Z 01007KT 9999 SCT015 31/24 A2984 NOSIG="
"2020-09-01 18:00:00","SKBQ","METAR","METAR SKBQ 011800Z 36004KT 9999  SCT015 31/24 A2982 NOSIG="
"2020-09-01 19:00:00","SKBQ","METAR","METAR SKBQ 011900Z 35007KT 9999 SCT015 32/25 A2979 NOSIG="
"2020-09-01 20:00:00","SKBQ","METAR","METAR SKBQ 012000Z 35007KT 310V020 9999 SCT015 32/25 A2977 NOSIG="
"2020-09-01 21:00:00","SKBQ","METAR","METAR SKBQ 012100Z 35007KT 320V030 9999 SCT015 SCT200 30/24 A2976 NOSIG="
"2020-09-01 22:00:00","SKBQ","METAR","METAR SKBQ 012200Z 35006KT 310V030 9999 SCT015 SCT200 30/24 A2978 NOSIG="
"2020-09-01 23:00:00","SKBQ","METAR","METAR SKBQ 012300Z 35007KT 290V030 9999 FEW015 29/24 A2980 NOSIG="
"2020-09-02 00:00:00","SKBQ","METAR","METAR SKBQ 020000Z 36004KT 9999 FEW015 28/25 A2982 NOSIG="
"2020-09-02 01:00:00","SKBQ","METAR","METAR SKBQ 020100Z 34004KT 300V010 9999 FEW015 28/25 A2983 NOSIG="
"2020-09-02 02:00:00","SKBQ","METAR","METAR SKBQ 020200Z 34004KT 300V020 9999 SCT015 28/25 A2985 NOSIG="
"2020-09-02 03:00:00","SKBQ","METAR","METAR SKBQ 020300Z 35004KT 310V020 9999 FEW015 28/25 A2988 NOSIG="
"2020-09-02 04:00:00","SKBQ","METAR","METAR SKBQ 020400Z VRB02KT 9999 FEW015 28/25 A2988 NOSIG="
