"Fecha hora","Aeropuerto","Tipo Informe","Informe"
"2020-09-01 11:00:00","SKMD","METAR","METAR SKMD 011100Z 20006KT 9999 5000S -DZ HZ SCT020 BKN100 18/17 A3013="
"2020-09-01 12:00:00","SKMD","METAR","METAR SKMD 011200Z 19008KT 9999 6000N BKN030 SCT100 19/16 A3017 REDZ RMK HZ="
"2020-09-01 13:00:00","SKMD","METAR","METAR SKMD 011300Z 36006KT 9000 6000N SCT020 BKN100 20/16 A3019 RMK HZ="
"2020-09-01 14:00:00","SKMD","METAR","METAR SKMD 011400Z 00000KT 8000 FEW020 SCT100 22/16 A3019 RMK HZ="
"2020-09-01 15:00:00","SKMD","METAR","METAR SKMD 011500Z 00000KT 9999 FEW030 24/16 A3018="
"2020-09-01 16:00:00","SKMD","METAR","METAR SKMD 011600Z 12006KT 9999 FEW035 26/16 A3016="
"2020-09-01 17:00:00","SKMD","METAR","METAR SKMD 011700Z 36008KT 9999 FEW040CB 27/16 A3013 RMK CB/SE/S="
"2020-09-01 18:00:00","SKMD","METAR","METAR SKMD 011800Z 18014KT 9999 FEW040CB SCT100 27/16 A3009 RMK CB/E/SE="
"2020-09-01 19:00:00","SKMD","METAR","METAR SKMD 011900Z 18016KT 9999 VCSH SCT040CB SCT100 23/17 A3007 RMK CB VCSH/NE="
"2020-09-01 20:00:00","SKMD","METAR","METAR SKMD 012000Z 36008KT 9999 -DZ FEW040CB SCT100 22/17 A3004 RMK CB/N/SE VCSH/N="
"2020-09-01 21:00:00","SKMD","METAR","METAR SKMD 012100Z 03007KT 9999 FEW040CB SCT100 24/17 A3002 REDZ RMK CB/E/SE="
"2020-09-01 22:00:00","SKMD","METAR","METAR SKMD 012200Z 00000KT 9999 VCSH SCT040CB SCT100 26/16 A3002 RMK CB VCSH/N/S="
"2020-09-01 23:00:00","SKMD","METAR","METAR SKMD 012300Z 00000KT 9999 SCT040CB SCT100 22/17 A3006 REDZ RMK CB/NW/N="
"2020-09-02 11:00:00","SKMD","METAR","METAR SKMD 021100Z 25003KT 9999 -DZ FEW020 OVC080 17/16 A3018="
"2020-09-02 12:00:00","SKMD","METAR","METAR SKMD 021200Z VRB02KT 9999 6000S -DZ SCT020 OVC070 17/16 A3019="
"2020-09-02 13:00:00","SKMD","METAR","METAR SKMD 021300Z 00000KT 9999 6000S -DZ SCT020 OVC080 17/16 A3021="
"2020-09-02 14:00:00","SKMD","METAR","METAR SKMD 021400Z 00000KT 9999 7000S -DZ SCT020 OVC100 19/16 A3022="
"2020-09-02 15:00:00","SKMD","METAR","METAR SKMD 021500Z 05003KT 9999 SCT020 OVC120 20/16 A3021 REDZ="
"2020-09-02 16:00:00","SKMD","METAR","METAR SKMD 021600Z 09003KT 9999 SCT025TCU OVC200 22/16 A3020 RMK TCU/N="
"2020-09-02 17:00:00","SKMD","METAR","METAR SKMD 021700Z VRB02KT 9999 FEW030 OVC070 23/16 A3017="
"2020-09-02 18:00:00","SKMD","METAR","METAR SKMD 021800Z 03004KT 9999 VCSH FEW030 OVC080 24/16 A3014 RMK VCSH/E="
"2020-09-02 19:00:00","SKMD","METAR","METAR SKMD 021900Z 30007KT 9999 FEW030 BKN080 25/15 A3010="
"2020-09-02 20:00:00","SKMD","METAR","METAR SKMD 022000Z 19004KT 9999 VCSH SCT030CB BKN080 24/14 A3007 RMK CB VCSH/E/N="
"2020-09-02 21:00:00","SKMD","METAR","METAR SKMD 022100Z 30004KT 9999 VCSH SCT030CB BKN080 25/14 A3004 RETS RMK CB VCSH/S/N="
