"Fecha hora","Aeropuerto","Tipo Informe","Informe"
"2020-09-02 12:00:00","SKRH","METAR","METAR SKRH 021200Z 15004KT 9999  FEW020 SCT200 25/24 A2984="
"2020-09-02 13:00:00","SKRH","METAR","METAR SKRH 021300Z 14004KT 9999 FEW020 BKN100 27/25 A2984="
"2020-09-02 14:00:00","SKRH","METAR","METAR SKRH 021400Z 14005KT 9999 FEW020 BKN100 29/25 A2985="
"2020-09-02 15:00:00","SKRH","METAR","METAR SKRH 021500Z 11005KT 9999 FEW020 BKN100 31/25 A2984="
"2020-09-02 16:00:00","SKRH","METAR","METAR SKRH 021600Z 10008KT 9999 SCT017 BKN100 31/24 A2984="
"2020-09-02 17:00:00","SKRH","METAR","METAR SKRH 021700Z 05004KT 010V170 9999 SCT017 BKN100 32/23 A2981="
"2020-09-02 18:00:00","SKRH","METAR","METAR SKRH 021800Z 01007KT 300V010 9999 SCT017CB BKN100 33/24 A2978 RMK CB/NE="
"2020-09-02 19:00:00","SKRH","METAR","METAR SKRH 021900Z 02009KT 9999 VCSH BKN017CB BKN100 33/25 A2975 RMK CB/E/SE/N VCSH/SE="
"2020-09-02 20:00:00","SKRH","METAR","METAR SKRH 022000Z 34008KT 310V040 9999 TS BKN017CB BKN070 31/26 A2972 RMK CB/SE/S/SW="
"2020-09-03 12:00:00","SKRH","METAR","METAR SKRH 031200Z 20003KT 9999 FEW020 BKN070 25/24 A2982="
