"Fecha hora","Aeropuerto","Tipo Informe","Informe"
"2020-09-01 12:00:00","SKSM","METAR","METAR SKSM 011200Z VRB02KT 9999 NSC 27/24 A2989="
"2020-09-01 13:00:00","SKSM","METAR","METAR SKSM 011300Z VRB02KT 9999 NSC 29/24 A2990="
"2020-09-01 14:00:00","SKSM","METAR","METAR SKSM 011400Z 31004KT 9999 FEW020 31/24 A2990="
"2020-09-01 15:00:00","SKSM","METAR","METAR SKSM 011500Z 32008KT 9999 FEW020 33/25 A2991="
"2020-09-01 16:00:00","SKSM","METAR","METAR SKSM 011600Z 33009KT 9999 FEW020 33/25 A2988="
"2020-09-01 17:00:00","SKSM","METAR","METAR SKSM 011700Z 34009KT 9999 FEW020 33/25 A2985="
"2020-09-01 18:00:00","SKSM","METAR","METAR SKSM 011800Z 34010KT 9999 FEW020 33/25 A2983="
"2020-09-01 19:00:00","SKSM","METAR","METAR SKSM 011900Z 34008KT 9999 FEW020 32/25 A2981="
"2020-09-01 20:00:00","SKSM","METAR","METAR SKSM 012000Z 33006KT 9999 SCT020 SCT070 31/25 A2980="
"2020-09-02 12:00:00","SKSM","METAR","METAR SKSM 021200Z 23004KT 9999 FEW015 SCT200 28/24 A2989="
"2020-09-02 13:00:00","SKSM","METAR","METAR SKSM 021300Z 21004KT 9999 SCT017 SCT200 29/25 A2990="
"2020-09-02 14:00:00","SKSM","METAR","METAR SKSM 021400Z 25004KT 9999 FEW020 BKN200 31/25 A2991="
"2020-09-02 15:00:00","SKSM","METAR","METAR SKSM 021500Z 19012KT 9999 SCT017 BKN200 29/26 A2992="
"2020-09-02 16:00:00","SKSM","METAR","METAR SKSM 021600Z 18014KT 9999 VCSH FEW015CB SCT020 BKN200 29/25 A2991 RMK CB/VCSH/S="
"2020-09-02 17:00:00","SKSM","METAR","METAR SKSM 021700Z 18014KT 9999 SCT017 BKN200 29/26 A2989="
"2020-09-02 18:00:00","SKSM","METAR","METAR SKSM 021800Z 18016KT 9999 SCT017CB BKN200 30/25 A2986 RMK CB/SE="
"2020-09-02 19:00:00","SKSM","METAR","METAR SKSM 021900Z 17016KT 9999 VCSH SCT017CB SCT070 28/24 A2984 RMK CB/VCSH/SE="
"2020-09-02 20:00:00","SKSM","METAR","METAR SKSM 022000Z 14007KT 6000 RA SCT017CB BKN070 25/24 A2983 RMK CB/SE="
"2020-09-03 12:00:00","SKSM","METAR","METAR SKSM 031200Z 00000KT 9999 FEW020 BKN200 27/25 A2986="
"2020-09-03 13:00:00","SKSM","METAR","METAR SKSM 031300Z 00000KT 9999 FEW020 BKN200 28/24 A2987="
"2020-09-03 14:00:00","SKSM","METAR","METAR SKSM 031400Z 22004KT 9999 FEW020 SCT200 29/24 A2988="
"2020-09-03 15:00:00","SKSM","METAR","METAR SKSM 031500Z 23004KT 9999 FEW020 SCT200 30/24 A2988="
"2020-09-03 16:00:00","SKSM","METAR","METAR SKSM 031600Z 28005KT 9999 FEW020 SCT200 31/25 A2987="
"2020-09-03 17:00:00","SKSM","METAR","METAR SKSM 031700Z 30007KT 9999 FEW020 SCT200 32/25 A2985="
"2020-09-03 18:00:00","SKSM","METAR","METAR SKSM 031800Z 31008KT 9999 FEW020CB SCT200 33/26 A2982 RMK CB/E="
"2020-09-03 19:00:00","SKSM","METAR","METAR SKSM 031900Z 35007KT 9999 FEW020CB SCT070 31/25 A2980 RMK CB/NE="
"2020-09-03 20:00:00","SKSM","METAR","METAR SKSM 032000Z 02010KT 9999 FEW020CB SCT070 30/24 A2978 RMK CB/NE="
