"Fecha hora","Aeropuerto","Tipo Informe","Informe"
"2020-09-01 00:00:00","SKCL","METAR","METAR SKCL 010000Z 11007KT 080V140 8000 TS VCSH SCT030CB SCT070 22/17 A2998 TEMPO -TSRA RMK CB/VCSH S="
"2020-09-01 00:15:00","SKCL","SPECI","SPECI SKCL 010010Z 08006KT 020V110 8000 -TSRA SCT030CB BKN070 20/17 A2998 TEMPO FM0040 DZ SCT030 BKN070 RMK CB/S="
"2020-09-01 01:00:00","SKCL","METAR","METAR SKCL 010100Z 34006KT 8000 -TSRA SCT030CB SCT100 21/18 A2998 TEMPO FM0120 DZ SCT030 SCT100  RMK CB/NW="
"2020-09-01 01:20:00","SKCL","SPECI","SPECI SKCL 010120Z 13003KT 020V180 9999 SCT030 BKN120 20/20 A3001 RETSRA NOSIG="
"2020-09-01 02:00:00","SKCL","METAR","METAR SKCL 010200Z 14003KT 110V180 9999 SCT030 BKN120 20/19 A3001 RETSRA NOSIG="
"2020-09-01 03:00:00","SKCL","METAR","METAR SKCL 010300Z 14004KT 120V180 9999 FEW030 SCT120 BKN200 20/19 A3004 NOSIG="
"2020-09-01 04:00:00","SKCL","METAR","METAR SKCL 010400Z VRB02KT 9999 FEW020 SCT080 BKN200 19/18 A3005 NOSIG="
"2020-09-01 05:00:00","SKCL","METAR","METAR SKCL 010500Z 00000KT 9999 FEW030 SCT120 19/18 A3004 NOSIG="
"2020-09-01 06:00:00","SKCL","METAR","METAR SKCL 010600Z 05003KT 9999 FEW030 18/17 A3001 NOSIG="
"2020-09-01 07:00:00","SKCL","METAR","METAR SKCL 010700Z 00000KT 8000 VCFG FEW030 18/17 A3000 NOSIG="
"2020-09-01 08:00:00","SKCL","METAR","METAR SKCL 010800Z 07003KT 8000 VCFG FEW030 17/16 A2999 NOSIG="
"2020-09-01 09:00:00","SKCL","METAR","METAR SKCL 010900Z 00000KT 7000 VCFG FEW030 SCT080 18/17 A3000 NOSIG="
"2020-09-01 10:00:00","SKCL","METAR","METAR SKCL 011000Z VRB02KT 8000 -DZ SCT030 BKN070 19/18 A3002 NOSIG="
"2020-09-01 10:30:00","SKCL","SPECI","SPECI SKCL 011030Z VRB02KT 6000 - DZ SCT030 BKN070 19/18 A3003 BECMG FM1130 4000 BR="
"2020-09-01 11:00:00","SKCL","METAR","METAR SKCL 011100Z 00000KT 6000 VCFG BKN030 SCT070 19/18 A3004 REDZ BECMG FM1120 4000 BR="
"2020-09-01 12:00:00","SKCL","METAR","METAR SKCL 011200Z VRB02KT 5000 BR SCT020 SCT070 19/19 A3005 NOSIG="
"2020-09-01 13:00:00","SKCL","METAR","METAR SKCL 011300Z VRB04KT 6000 VCFG SCT020 22/21 A3008 NOSIG="
"2020-09-01 14:00:00","SKCL","METAR","METAR SKCL 011400Z VRB04KT 9999 SCT023 SCT100 23/20 A3008 NOSIG="
"2020-09-01 16:00:00","SKCL","METAR","METAR SKCL 011600Z VRB04KT 9999 FEW030 27/19 A3006 NOSIG="
"2020-09-01 17:00:00","SKCL","METAR","METAR SKCL 011700Z VRB10KT 9999 SCT030 29/19 A3003 NOSIG="
"2020-09-01 18:00:00","SKCL","METAR","METAR SKCL 011800Z VRB06KT 9999 SCT030 30/19 A2999 NOSIG="
"2020-09-01 19:00:00","SKCL","METAR","METAR SKCL 011900Z 34010KT 9999 SCT030 SCT300 30/18 A2993 NOSIG="
"2020-09-01 20:00:00","SKCL","METAR","METAR SKCL 012000Z 34016KT 9999 SCT030 SCT120 30/18 A2993 NOSIG="
"2020-09-01 21:00:00","SKCL","METAR","METAR SKCL 012100Z 30012KT 9999 SCT030CB SCT120 28/17 A2988 NOSIG RMK CB/E="
"2020-09-01 21:20:00","SKCL","SPECI","SPECI SKCL 012120Z 30012KT 9999 SCT020CB SCT100 27/18 A2990 BECMG FM2200 5000 TSRA RMK CB/E="
"2020-09-01 22:00:00","SKCL","METAR","METAR SKCL 012200Z 32006KT 9999 SCT020CB SCT100 27/17 A2988 RETSRA NOSIG RMK CB E/S="
"2020-09-01 23:00:00","SKCL","METAR","METAR SKCL 012300Z 18014KT 9999 SCT020CB SCT100 27/17 A2997 NOSIG RMK CB E/S="
"2020-09-02 00:00:00","SKCL","METAR","METAR SKCL 020000Z 14006KT 8000 -DZ BKN030 SCT070 20/18 A3001 NOSIG="
"2020-09-02 01:00:00","SKCL","METAR","METAR SKCL 020100Z 10005KT 9999 SCT030 BKN100 20/18 A3004 REDZ NOSIG="
"2020-09-02 02:00:00","SKCL","METAR","METAR SKCL 020200Z VRB03KT 9999 SCT030 BKN100 21/18 A3005 NOSIG="
"2020-09-02 03:00:00","SKCL","METAR","METAR SKCL 020300Z 25004KT 9999 FEW030 BKN120 20/18 A3007 NOSIG="
"2020-09-02 04:00:00","SKCL","METAR","METAR SKCL 020400Z VRB02KT 9999 FEW030 BKN120 20/18 A3006 NOSIG="
"2020-09-02 05:00:00","SKCL","METAR","METAR SKCL 020500Z VRB02KT 8000 VCFG FEW030 BKN120 19/18 A3007 NOSIG="
"2020-09-02 06:00:00","SKCL","METAR","METAR SKCL 020600Z VRB02KT 7000 VCFG FEW030 BKN120 19/18 A3006 NOSIG="
"2020-09-02 07:00:00","SKCL","METAR","METAR SKCL 020700Z 00000KT 6000 VCFG FEW030 BKN120 19/18 A3003 NOSIG="
"2020-09-02 08:00:00","SKCL","METAR","METAR SKCL 020800Z 00000KT 4000 BR FEW030 BKN120 18/17 A3001 NOSIG="
"2020-09-02 09:00:00","SKCL","METAR","METAR SKCL 020900Z 00000KT 4000 BR SCT020 BKN100 18/17 A3001 NOSIG="
"2020-09-02 10:00:00","SKCL","METAR","METAR SKCL 021000Z VRB02KT 4000 BR SCT020 BKN100 19/18 A3001 NOSIG="
"2020-09-02 10:30:00","SKCL","SPECI","SPECI SKCL 021030Z 08003KT 4000 BR BKN020 BKN100 19/18 A3003 NOSIG="
"2020-09-02 11:00:00","SKCL","METAR","METAR SKCL 021100Z VRB02KT 3000 BR OVC020 19/18 A3003 NOSIG="
"2020-09-02 12:00:00","SKCL","METAR","METAR SKCL 021200Z VRB02KT 3000 BR BKN012 SCT100 20/19 A3005 BECMG FM1330 5000 BR SCT015="
"2020-09-02 13:00:00","SKCL","METAR","METAR SKCL 021300Z 32005KT 3000 BR BKN010 SCT100 21/20 A3006 BECMG FM1400 5000 BR SCT015="
"2020-09-02 14:00:00","SKCL","METAR","METAR SKCL 021400Z 30003KT 4000 BR SCT010 BKN100 22/21 A3008 BECMG FM1500 5000 BR="
"2020-09-02 15:00:00","SKCL","METAR","METAR SKCL 021500Z VRB03KT 4000 HZ BKN013 SCT100 23/21 A3008 BECMG FM1600 5000 HZ SCT015 SCT100="
