Codigo,Estacion,Longitud,Latitud,Ciudad,Barrio,Comuna,Corregimiento,Vereda,Fecha_Instalacion,Estado
1,Casa de Gobierno Altavista,-75.62820,6.22260,Medellin,,,70 Altavista,Altavista - Sector central,2009-11-19,Activa
2,Escuela Rural La Verde,-75.64069,6.18686,Medellin,,,80 San Antonio de Prado,La Verde,2009-11-12,Activa
3,Escuela Rural Yarumalito,-75.69397,6.23482,Medellin,,,80 San Antonio de Prado,Yarumalito,2009-11-12,Activa
4,I.E Hector Rogelio Montoya,-75.69020,6.34310,Medellin,,,50 Palmitas,Palmitas - Sector Central,2009-11-26,Activa
5,I.E Santa Elena,-75.49188,6.20622,Medellin,,,90 Santa Elena,Santa Elena Sector Central,2009-11-13,Activa
6,Casa de Cultura Las Estancias,-75.53886,6.23405,Medellin,Villatina,08 Villa Hermosa,NULL,NULL,2009-11-17,Inactiva
7,Escuela Republica de Cuba,-75.57721,6.29397,Medellin,La Esperanza,06 Doce Octubre,,,2009-11-17,Activa
8,Escuela CEDEPRO,-75.63624,6.21959,Medellin,,,70 Altavista,Buga - Patio Bonito,2009-11-19,Activa
9,Instituto Pedro Justo Berrio,-75.61199,6.23695,Medellin,Las Mercedes,16 Belen,,,2009-11-20,Activa
10,Escuela Rural El Boqueron,-75.65763,6.31533,Medellin,,,60 San Cristobal,Boqueron,2009-11-20,Activa
11,Escuela Rural Fabio Zuluaga,-75.65199,6.27301,Medellin,,,60 San Cristobal,La Palma,2009-11-20,Activa
12,I.E Concejo de Medellin,-75.60050,6.25800,Medellin,La Floresta,12 La America,,,2009-11-23,Activa
13,I.E Maria de los Angeles Cano,-75.54472,6.29231,Medellin,Granizal,01 Popular,NULL,NULL,2009-12-14,Inactiva
14,Escuela El Triunfo ,-75.58469,6.30654,Medellin,El Triunfo,06 Doce Octubre,,,2009-11-23,Activa
15,Colegio San Lucas ,-75.56556,6.18122,Medellin,San Lucas,14 El Poblado,,,2009-12-17,Activa
16,I.E Ramon Munera Lopera,-75.54380,6.26932,Medellin,El Raizal,03 Manrique,,,2009-12-14,Activa
17,Escuela El Corazon ,-75.62909,6.24753,Medellin,El Corazon,13 San Javier,,,2010-01-28,Activa
18,Escuela El Salado,-75.67103,6.21113,Medellin,,,80 San Antonio de Prado,El Salado,2010-01-14,Activa
19,Tecnologico Antioquia,-75.60374,6.17832,Itagui,Las Americas-Zona Industrial No. 1,,,,2010-01-14,Activa
20,Fundacion Hogares Claret,-75.61075,6.29469,Medellin,,,60 San Cristobal,Pajarito,2010-01-18,Activa
21,Escuela Rural San Jose de la Montana,-75.63913,6.30408,Medellin,,,60 San Cristobal,San Jose de la Montana,2010-01-18,Activa
22,Escuela La Capilla del Rosario ,-75.60313,6.20603,Medellin,Belen Rincon,16 Belen,,,2010-01-28,Activa
23,Instituto Jorge Robledo,-75.58161,6.25772,Medellin,Carlos E. Restrepo,11 Laureles - Estadio,,,2010-01-18,Activa
24,I.E Republica de Uruguay,-75.57671,6.28427,Medellin,Alfonso Lopez,05 Castilla,,,2010-01-22,Activa
25,Escuela Rural Astilleros,-75.66688,6.23977,Medellin,,,80 San Antonio de Prado,Astilleros,2010-03-12,Activa
26,Escuela Rural El Plan,-75.51729,6.20526,Medellin,,,90 Santa Elena,El Plan,2010-01-22,Activa
27,Centro de Salud San Javier La Loma,-75.63103,6.27178,Medellin,,,60 San Cristobal,La Loma,2010-01-25,Activa
28,Liceo Salazar y Herrera,-75.60583,6.24867,Medellin,La America,12 La America,,,2010-01-25,Activa
29,Escuela Marina Orth,-75.64377,6.23231,Medellin,,,70 Altavista,Aguas Frias,2010-01-25,Activa
30,Salon Social Barbosa,-75.33045,6.43687,Barbosa,Centro,,,,2010-01-29,Activa
31,Colegio Jose Manuel Sierra,-75.44583,6.37588,Girardota,Calle Bolivar,,,,2010-01-29,Activa
