,D,T,P,DP
0,2020-09-01 11:00:00,18,30.13,17
1,2020-09-01 12:00:00,19,30.17,16
2,2020-09-01 13:00:00,20,30.19,16
3,2020-09-01 14:00:00,22,30.19,16
4,2020-09-01 15:00:00,24,30.18,16
5,2020-09-01 16:00:00,26,30.16,16
6,2020-09-01 17:00:00,27,30.13,16
7,2020-09-01 18:00:00,27,30.09,16
8,2020-09-01 19:00:00,23,30.07,17
9,2020-09-01 20:00:00,22,30.04,17
10,2020-09-01 21:00:00,24,30.02,17
11,2020-09-01 22:00:00,26,30.02,16
12,2020-09-01 23:00:00,22,30.06,17
13,2020-09-02 11:00:00,17,30.18,16
14,2020-09-02 12:00:00,17,30.19,16
15,2020-09-02 13:00:00,17,30.21,16
16,2020-09-02 14:00:00,19,30.22,16
17,2020-09-02 15:00:00,20,30.21,16
18,2020-09-02 16:00:00,22,30.2,16
19,2020-09-02 17:00:00,23,30.17,16
20,2020-09-02 18:00:00,24,30.14,16
21,2020-09-02 19:00:00,25,30.1,15
22,2020-09-02 20:00:00,24,30.07,14
23,2020-09-02 21:00:00,25,30.04,14
24,2020-09-02 22:00:00,23,30.04,16
25,2020-09-02 23:00:00,21,30.07,16
26,2020-09-03 11:00:00,18,30.1,15
27,2020-09-03 12:00:00,19,30.12,16
28,2020-09-03 13:00:00,21,30.14,16
29,2020-09-03 14:00:00,22,30.15,16
30,2020-09-03 15:00:00,25,30.12,16
31,2020-09-03 16:00:00,26,30.1,15
32,2020-09-03 17:00:00,26,30.07,15
33,2020-09-03 18:00:00,27,30.02,14
34,2020-09-03 18:30:00,25,30.0,15
35,2020-09-03 19:00:00,22,30.0,15
36,2020-09-03 19:30:00,18,30.04,18
37,2020-09-03 20:00:00,19,30.04,18
38,2020-09-03 21:00:00,19,30.04,17
39,2020-09-03 22:00:00,20,30.02,16
40,2020-09-03 23:00:00,20,30.03,17
