,D,T,P,DP
0,2020-09-01 12:00:00,27,29.89,24
1,2020-09-01 13:00:00,29,29.9,24
2,2020-09-01 14:00:00,31,29.9,24
3,2020-09-01 15:00:00,33,29.91,25
4,2020-09-01 16:00:00,33,29.88,25
5,2020-09-01 17:00:00,33,29.85,25
6,2020-09-01 18:00:00,33,29.83,25
7,2020-09-01 19:00:00,32,29.81,25
8,2020-09-01 20:00:00,31,29.8,25
9,2020-09-02 12:00:00,28,29.89,24
10,2020-09-02 13:00:00,29,29.9,25
11,2020-09-02 14:00:00,31,29.91,25
12,2020-09-02 15:00:00,29,29.92,26
13,2020-09-02 16:00:00,29,29.91,25
14,2020-09-02 17:00:00,29,29.89,26
15,2020-09-02 18:00:00,30,29.86,25
16,2020-09-02 19:00:00,28,29.84,24
17,2020-09-02 20:00:00,25,29.83,24
18,2020-09-03 12:00:00,27,29.86,25
19,2020-09-03 13:00:00,28,29.87,24
20,2020-09-03 14:00:00,29,29.88,24
21,2020-09-03 15:00:00,30,29.88,24
22,2020-09-03 16:00:00,31,29.87,25
23,2020-09-03 17:00:00,32,29.85,25
24,2020-09-03 18:00:00,33,29.82,26
25,2020-09-03 19:00:00,31,29.8,25
26,2020-09-03 20:00:00,30,29.78,24
