,D,T,P,DP
0,2020-09-01 00:00:00,22,29.98,17
1,2020-09-01 00:15:00,20,29.98,17
2,2020-09-01 01:00:00,21,29.98,18
3,2020-09-01 01:20:00,20,30.01,20
4,2020-09-01 02:00:00,20,30.01,19
5,2020-09-01 03:00:00,20,30.04,19
6,2020-09-01 04:00:00,19,30.05,18
7,2020-09-01 05:00:00,19,30.04,18
8,2020-09-01 06:00:00,18,30.01,17
9,2020-09-01 07:00:00,18,30.0,17
10,2020-09-01 08:00:00,17,29.99,16
11,2020-09-01 09:00:00,18,30.0,17
12,2020-09-01 10:00:00,19,30.02,18
13,2020-09-01 10:30:00,19,30.03,18
14,2020-09-01 11:00:00,19,30.04,18
15,2020-09-01 12:00:00,19,30.05,19
16,2020-09-01 13:00:00,22,30.08,21
17,2020-09-01 14:00:00,23,30.08,20
18,2020-09-01 16:00:00,27,30.06,19
19,2020-09-01 17:00:00,29,30.03,19
20,2020-09-01 18:00:00,30,29.99,19
21,2020-09-01 19:00:00,30,29.93,18
22,2020-09-01 20:00:00,30,29.93,18
23,2020-09-01 21:00:00,28,29.88,17
24,2020-09-01 21:20:00,27,29.9,18
25,2020-09-01 22:00:00,27,29.88,17
26,2020-09-01 23:00:00,27,29.97,17
27,2020-09-02 00:00:00,20,30.01,18
28,2020-09-02 01:00:00,20,30.04,18
29,2020-09-02 02:00:00,21,30.05,18
30,2020-09-02 03:00:00,20,30.07,18
31,2020-09-02 04:00:00,20,30.06,18
32,2020-09-02 05:00:00,19,30.07,18
33,2020-09-02 06:00:00,19,30.06,18
34,2020-09-02 07:00:00,19,30.03,18
35,2020-09-02 08:00:00,18,30.01,17
36,2020-09-02 09:00:00,18,30.01,17
37,2020-09-02 10:00:00,19,30.01,18
38,2020-09-02 10:30:00,19,30.03,18
39,2020-09-02 11:00:00,19,30.03,18
40,2020-09-02 12:00:00,20,30.05,19
41,2020-09-02 13:00:00,21,30.06,20
42,2020-09-02 14:00:00,22,30.08,21
43,2020-09-02 15:00:00,23,30.08,21
44,2020-09-02 16:00:00,25,30.07,19
45,2020-09-02 17:00:00,26,30.04,19
46,2020-09-02 18:00:00,27,30.0,19
47,2020-09-02 19:00:00,27,29.96,19
48,2020-09-02 20:00:00,25,29.94,16
49,2020-09-02 21:00:00,25,29.92,16
50,2020-09-02 22:00:00,25,29.92,17
51,2020-09-02 23:00:00,23,29.92,18
52,2020-09-03 00:00:00,23,29.93,18
53,2020-09-03 01:00:00,21,29.97,19
54,2020-09-03 02:00:00,19,29.99,18
55,2020-09-03 03:00:00,20,30.0,19
56,2020-09-03 04:00:00,17,30.0,16
57,2020-09-03 05:00:00,17,29.99,16
58,2020-09-03 06:00:00,18,29.99,17
59,2020-09-03 07:00:00,17,29.97,16
60,2020-09-03 08:00:00,16,29.97,15
61,2020-09-03 09:00:00,17,29.98,16
62,2020-09-03 10:00:00,17,29.98,16
63,2020-09-03 10:30:00,16,29.99,15
64,2020-09-03 11:00:00,16,29.99,15
65,2020-09-03 12:00:00,17,30.0,16
66,2020-09-03 12:25:00,18,30.02,17
67,2020-09-03 13:00:00,20,30.03,18
68,2020-09-03 14:00:00,23,30.04,19
69,2020-09-03 15:00:00,25,30.03,18
70,2020-09-03 16:00:00,27,29.99,18
71,2020-09-03 17:00:00,28,29.96,17
72,2020-09-03 18:00:00,31,29.91,16
73,2020-09-03 19:00:00,31,29.87,16
74,2020-09-03 20:00:00,32,29.82,16
75,2020-09-03 21:00:00,32,29.79,18
76,2020-09-03 22:00:00,30,29.79,19
77,2020-09-03 23:00:00,28,29.83,19
78,2020-09-04 00:00:00,26,29.85,19
