,D,T,P,DP
0,2020-08-18 11:00:00,19,30.13,18
1,2020-08-18 12:00:00,20,30.16,18
2,2020-08-18 13:00:00,20,30.17,17
3,2020-08-18 14:00:00,22,30.18,16
4,2020-08-18 15:00:00,24,30.16,16
5,2020-08-18 16:00:00,25,30.15,14
6,2020-08-18 17:00:00,27,30.13,16
7,2020-08-18 18:00:00,28,30.08,15
8,2020-08-18 19:00:00,27,30.05,14
9,2020-08-18 20:00:00,28,30.03,14
10,2020-08-18 21:00:00,27,30.01,16
11,2020-08-18 22:00:00,24,30.03,17
12,2020-08-18 23:00:00,22,30.06,18
13,2020-08-19 11:00:00,19,30.12,18
14,2020-08-19 12:00:00,19,30.13,18
15,2020-08-19 13:00:00,20,30.16,18
16,2020-08-19 14:00:00,21,30.17,17
17,2020-08-19 15:00:00,23,30.17,17
18,2020-08-19 17:00:00,25,30.13,16
19,2020-08-19 18:00:00,25,30.1,16
20,2020-08-19 19:00:00,26,30.07,17
21,2020-08-19 20:00:00,23,30.06,17
22,2020-08-19 21:00:00,25,30.04,16
23,2020-08-19 22:00:00,24,30.04,16
24,2020-08-19 23:00:00,23,30.06,16
25,2020-08-20 11:00:00,18,30.17,16
26,2020-08-20 12:00:00,18,30.19,16
27,2020-08-20 13:00:00,19,30.21,16
28,2020-08-20 14:00:00,20,30.2,16
29,2020-08-20 15:00:00,23,30.19,16
30,2020-08-20 16:00:00,24,30.18,16
31,2020-08-20 17:00:00,25,30.15,16
32,2020-08-20 18:00:00,27,30.11,16
33,2020-08-20 19:00:00,27,30.06,16
34,2020-08-20 20:00:00,28,30.03,14
35,2020-08-20 21:00:00,28,30.0,14
36,2020-08-20 22:00:00,26,30.0,15
37,2020-08-20 23:00:00,24,30.06,16
