,D,T,P,DP
0,2020-08-18 11:00:00,25,29.82,24
1,2020-08-18 12:00:00,26,29.83,25
2,2020-08-18 13:00:00,26,29.86,25
3,2020-08-18 14:00:00,27,29.87,25
4,2020-08-18 15:00:00,30,29.87,26
5,2020-08-18 16:00:00,31,29.86,26
6,2020-08-18 17:00:00,31,29.84,26
7,2020-08-18 18:00:00,31,29.82,25
8,2020-08-18 19:00:00,31,29.79,25
9,2020-08-18 20:00:00,31,29.77,25
10,2020-08-18 21:00:00,31,29.76,25
11,2020-08-18 22:00:00,31,29.76,25
12,2020-08-18 23:00:00,29,29.77,26
13,2020-08-19 11:00:00,24,29.81,23
14,2020-08-19 12:00:00,25,29.84,23
15,2020-08-19 13:00:00,25,29.85,24
16,2020-08-19 14:00:00,25,29.86,24
17,2020-08-19 15:00:00,25,29.86,24
18,2020-08-19 16:00:00,27,29.87,24
19,2020-08-19 17:00:00,28,29.87,24
20,2020-08-19 18:00:00,30,29.83,25
21,2020-08-19 19:00:00,30,29.8,25
22,2020-08-19 20:00:00,31,29.77,25
23,2020-08-19 21:00:00,30,29.76,24
24,2020-08-19 22:00:00,31,29.78,24
25,2020-08-19 23:00:00,29,29.79,25
26,2020-08-20 11:00:00,24,29.85,24
27,2020-08-20 12:00:00,24,29.85,24
28,2020-08-20 13:00:00,25,29.87,24
29,2020-08-20 14:00:00,26,29.89,24
30,2020-08-20 15:00:00,28,29.89,25
31,2020-08-20 16:00:00,28,29.88,25
32,2020-08-20 17:00:00,28,29.87,24
33,2020-08-20 18:00:00,29,29.86,25
34,2020-08-20 19:00:00,29,29.83,24
35,2020-08-20 20:00:00,31,29.8,24
36,2020-08-20 21:00:00,31,29.77,24
37,2020-08-20 22:00:00,27,29.79,24
38,2020-08-20 23:00:00,26,29.79,23
