,D,T,P,DP
0,2020-08-18 13:00:00,25,29.95,25
1,2020-08-18 14:00:00,27,29.93,24
2,2020-08-18 15:00:00,29,29.92,25
3,2020-08-18 16:00:00,31,29.9,24
4,2020-08-18 17:00:00,33,29.88,24
5,2020-08-18 18:00:00,33,29.86,23
6,2020-08-18 19:00:00,32,29.84,23
7,2020-08-18 20:00:00,32,29.83,24
8,2020-08-19 16:00:00,29,29.93,24
9,2020-08-20 13:00:00,26,29.98,25
10,2020-08-20 14:00:00,27,29.88,24
11,2020-08-20 15:00:00,28,29.97,24
12,2020-08-20 16:00:00,30,29.95,24
13,2020-08-20 17:00:00,31,29.92,23
14,2020-08-20 18:00:00,32,29.88,22
15,2020-08-20 19:00:00,31,29.85,24
16,2020-08-20 20:00:00,34,29.84,23
