,D,T,P,DP
0,2020-08-18 00:00:00,24,29.85,24
1,2020-08-18 01:00:00,24,29.86,23
2,2020-08-18 02:00:00,24,29.86,24
3,2020-08-18 03:00:00,24,29.88,24
4,2020-08-18 04:00:00,24,29.86,24
5,2020-08-18 05:00:00,25,29.84,24
6,2020-08-18 06:00:00,26,29.84,25
7,2020-08-18 07:00:00,26,29.82,25
8,2020-08-18 08:00:00,25,29.8,25
9,2020-08-18 09:00:00,25,29.81,25
10,2020-08-18 10:00:00,25,29.82,25
11,2020-08-18 11:00:00,25,29.82,24
12,2020-08-18 12:00:00,26,29.84,25
13,2020-08-18 13:00:00,27,29.86,25
14,2020-08-18 14:00:00,28,29.87,25
15,2020-08-18 15:00:00,31,29.86,26
16,2020-08-18 16:00:00,31,29.85,25
17,2020-08-18 17:00:00,32,29.85,25
18,2020-08-18 18:00:00,33,29.82,27
19,2020-08-18 19:00:00,33,29.79,26
20,2020-08-18 20:00:00,33,29.76,25
21,2020-08-18 21:00:00,30,29.76,26
22,2020-08-18 21:10:00,27,29.78,26
23,2020-08-18 21:20:00,26,29.76,25
24,2020-08-18 22:00:00,28,29.77,26
25,2020-08-18 23:00:00,28,29.78,26
26,2020-08-19 00:00:00,28,29.81,26
27,2020-08-19 01:00:00,28,29.82,26
28,2020-08-19 02:00:00,28,29.85,26
29,2020-08-19 03:00:00,28,29.87,26
30,2020-08-19 04:00:00,28,29.88,26
31,2020-08-19 05:00:00,27,29.85,25
32,2020-08-19 06:00:00,27,29.82,25
33,2020-08-19 07:00:00,27,29.79,25
34,2020-08-19 08:00:00,27,29.76,25
35,2020-08-19 09:00:00,26,29.76,25
36,2020-08-19 10:00:00,26,29.78,25
37,2020-08-19 12:00:00,26,29.81,26
38,2020-08-19 13:00:00,27,29.84,26
39,2020-08-19 14:00:00,29,29.84,26
40,2020-08-19 15:00:00,30,29.85,26
41,2020-08-19 16:00:00,31,29.85,26
42,2020-08-19 17:00:00,32,29.83,25
43,2020-08-19 18:00:00,32,29.78,25
44,2020-08-19 19:00:00,28,29.76,25
45,2020-08-19 19:21:00,25,29.78,24
46,2020-08-19 20:00:00,25,29.78,25
47,2020-08-19 20:08:00,25,29.78,25
48,2020-08-19 20:29:00,25,29.78,25
49,2020-08-19 21:00:00,26,29.79,25
50,2020-08-19 22:00:00,25,29.79,25
51,2020-08-19 23:00:00,26,29.82,25
52,2020-08-20 00:00:00,26,29.83,25
53,2020-08-20 01:00:00,26,29.86,25
54,2020-08-20 02:00:00,26,29.88,25
55,2020-08-20 03:00:00,26,29.88,25
56,2020-08-20 04:00:00,26,29.89,25
57,2020-08-20 05:00:00,25,29.84,25
58,2020-08-20 06:00:00,25,29.88,25
59,2020-08-20 07:00:00,25,29.87,25
60,2020-08-20 08:00:00,25,29.84,25
61,2020-08-20 09:00:00,25,29.84,24
62,2020-08-20 10:00:00,25,29.85,24
63,2020-08-20 12:00:00,25,29.87,24
64,2020-08-20 13:00:00,26,29.88,25
65,2020-08-20 14:00:00,28,29.88,25
66,2020-08-20 15:00:00,29,29.89,25
67,2020-08-20 16:00:00,29,29.89,25
68,2020-08-20 17:00:00,31,29.88,24
69,2020-08-20 18:00:00,31,29.86,25
70,2020-08-20 19:00:00,31,29.83,24
71,2020-08-20 20:00:00,30,29.8,25
72,2020-08-20 21:00:00,26,29.8,25
73,2020-08-20 22:00:00,25,29.79,24
74,2020-08-20 23:00:00,26,29.82,25
75,2020-08-21 00:00:00,26,29.85,26
