,D,T,P,DP
0,2020-08-18 00:00:00,17,30.3,15
1,2020-08-18 01:00:00,16,30.3,15
2,2020-08-18 02:00:00,16,30.32,15
3,2020-08-18 03:00:00,15,30.33,14
4,2020-08-18 04:00:00,15,30.34,15
5,2020-08-18 05:00:00,16,30.33,15
6,2020-08-18 06:00:00,16,30.3,15
7,2020-08-18 07:00:00,15,30.28,15
8,2020-08-18 08:00:00,14,30.28,14
9,2020-08-18 09:00:00,15,30.28,14
10,2020-08-18 10:00:00,15,30.27,14
11,2020-08-18 10:30:00,15,30.27,14
12,2020-08-18 11:00:00,15,30.28,14
13,2020-08-18 12:00:00,15,30.3,14
14,2020-08-18 13:00:00,17,30.32,16
15,2020-08-18 14:00:00,18,30.32,15
16,2020-08-18 15:00:00,20,30.32,13
17,2020-08-18 16:00:00,21,30.32,12
18,2020-08-18 17:00:00,23,30.3,12
19,2020-08-18 18:00:00,,,
20,2020-08-18 19:00:00,24,30.23,11
21,2020-08-18 20:00:00,23,30.22,13
22,2020-08-18 21:00:00,23,30.21,14
23,2020-08-18 22:00:00,20,30.22,14
24,2020-08-18 23:00:00,18,30.24,15
25,2020-08-19 00:00:00,17,30.27,16
26,2020-08-19 01:00:00,17,30.27,16
27,2020-08-19 02:00:00,17,30.3,17
28,2020-08-19 03:00:00,16,30.32,16
29,2020-08-19 04:00:00,16,30.35,16
30,2020-08-19 05:00:00,16,30.3,16
31,2020-08-19 06:00:00,15,30.28,15
32,2020-08-19 07:00:00,15,30.26,15
33,2020-08-19 08:00:00,15,30.26,15
34,2020-08-19 09:00:00,15,30.25,15
35,2020-08-19 10:00:00,15,30.26,15
36,2020-08-19 10:30:00,15,30.27,15
37,2020-08-19 11:00:00,15,30.27,15
38,2020-08-19 12:00:00,15,30.28,14
39,2020-08-19 13:00:00,15,30.3,15
40,2020-08-19 14:00:00,16,30.32,15
41,2020-08-19 15:00:00,17,30.33,15
42,2020-08-19 16:00:00,19,30.32,15
43,2020-08-19 17:00:00,21,30.29,14
44,2020-08-19 18:00:00,21,30.26,13
45,2020-08-19 19:00:00,19,30.23,15
46,2020-08-19 19:07:00,18,30.24,18
47,2020-08-19 20:00:00,16,30.23,15
48,2020-08-19 21:00:00,17,30.22,14
49,2020-08-19 22:00:00,17,30.22,15
50,2020-08-19 23:00:00,16,30.24,16
51,2020-08-20 00:00:00,16,30.25,16
52,2020-08-20 01:00:00,16,30.29,16
53,2020-08-20 02:00:00,16,30.3,16
54,2020-08-20 03:00:00,16,30.32,16
55,2020-08-20 03:10:00,16,30.34,16
56,2020-08-20 04:00:00,15,30.34,15
57,2020-08-20 05:00:00,15,30.31,15
58,2020-08-20 06:00:00,14,30.32,14
59,2020-08-20 07:00:00,14,30.34,14
60,2020-08-20 08:00:00,14,30.31,14
61,2020-08-20 09:00:00,13,30.29,13
62,2020-08-20 10:00:00,13,30.3,13
63,2020-08-20 10:30:00,13,30.3,13
64,2020-08-20 11:00:00,13,30.3,13
65,2020-08-20 12:00:00,14,30.33,13
66,2020-08-20 13:00:00,15,30.36,14
67,2020-08-20 14:00:00,16,30.34,14
68,2020-08-20 15:00:00,18,30.35,14
69,2020-08-20 16:00:00,19,30.34,14
70,2020-08-20 17:00:00,20,30.32,14
71,2020-08-20 18:00:00,22,30.29,14
72,2020-08-20 19:00:00,22,30.26,13
73,2020-08-20 20:00:00,22,30.22,13
74,2020-08-20 21:00:00,23,30.2,13
75,2020-08-20 22:00:00,22,30.2,13
76,2020-08-20 23:00:00,19,30.25,14
77,2020-08-21 00:00:00,18,30.25,15
