,D,T,P,DP
0,2020-08-18 12:00:00,25,29.85,24
1,2020-08-18 13:00:00,26,29.86,25
2,2020-08-18 14:00:00,26,29.88,25
3,2020-08-18 15:00:00,29,29.87,25
4,2020-08-18 16:00:00,29,29.86,24
5,2020-08-18 17:00:00,30,29.84,23
6,2020-08-18 18:00:00,31,29.81,23
7,2020-08-18 19:00:00,31,29.77,23
8,2020-08-18 20:00:00,32,29.74,21
9,2020-08-19 14:00:00,26,29.86,24
10,2020-08-19 15:00:00,26,29.86,24
11,2020-08-19 16:00:00,27,29.88,24
12,2020-08-19 17:00:00,28,29.84,24
13,2020-08-19 18:00:00,30,29.81,24
14,2020-08-19 19:00:00,29,29.77,24
15,2020-08-19 20:00:00,29,29.75,25
16,2020-08-20 12:00:00,23,29.91,23
17,2020-08-20 13:00:00,23,29.93,23
18,2020-08-20 13:28:00,23,29.94,23
19,2020-08-20 14:00:00,23,29.94,23
20,2020-08-20 15:00:00,23,29.93,23
21,2020-08-20 16:00:00,26,29.91,24
22,2020-08-20 17:00:00,28,29.88,24
23,2020-08-20 18:00:00,29,29.84,23
24,2020-08-20 19:00:00,30,29.8,23
25,2020-08-20 20:00:00,30,29.77,22
