,D,T,P,DP
0,2020-08-18 00:00:00,23,29.95,18
1,2020-08-18 01:00:00,23,29.97,19
2,2020-08-18 02:00:00,23,30.0,18
3,2020-08-18 03:00:00,22,30.02,19
4,2020-08-18 04:00:00,22,30.04,19
5,2020-08-18 05:00:00,22,30.03,19
6,2020-08-18 06:00:00,23,30.0,19
7,2020-08-18 07:00:00,21,29.99,18
8,2020-08-18 08:00:00,21,29.99,18
9,2020-08-18 09:00:00,21,29.99,18
10,2020-08-18 10:00:00,21,29.99,18
11,2020-08-18 10:30:00,20,30.0,18
12,2020-08-18 11:00:00,20,30.01,19
13,2020-08-18 12:00:00,20,30.03,19
14,2020-08-18 13:00:00,23,30.05,20
15,2020-08-18 14:00:00,25,30.05,21
16,2020-08-18 15:00:00,27,30.04,22
17,2020-08-18 16:00:00,28,30.02,21
18,2020-08-18 17:00:00,28,30.01,20
19,2020-08-18 18:00:00,27,29.98,19
20,2020-08-18 19:00:00,28,29.94,21
21,2020-08-18 20:00:00,28,29.93,19
22,2020-08-18 21:00:00,27,29.93,19
23,2020-08-18 22:00:00,26,29.94,19
24,2020-08-18 23:00:00,24,29.96,19
25,2020-08-19 00:00:00,23,29.99,19
26,2020-08-19 01:00:00,23,29.99,19
27,2020-08-19 02:00:00,22,30.02,18
28,2020-08-19 03:00:00,22,30.05,19
29,2020-08-19 04:00:00,22,30.06,19
30,2020-08-19 05:00:00,21,30.05,19
31,2020-08-19 06:00:00,21,30.03,19
32,2020-08-19 07:00:00,21,30.01,19
33,2020-08-19 08:00:00,21,29.99,20
34,2020-08-19 09:00:00,21,29.99,19
35,2020-08-19 10:00:00,20,30.0,20
36,2020-08-19 10:30:00,20,29.99,19
37,2020-08-19 11:00:00,20,30.0,19
38,2020-08-19 12:00:00,20,30.04,19
39,2020-08-19 13:00:00,20,30.06,19
40,2020-08-19 14:00:00,21,30.07,19
41,2020-08-19 15:00:00,21,30.09,20
42,2020-08-19 16:00:00,22,30.08,19
43,2020-08-19 17:00:00,24,30.06,20
44,2020-08-19 18:00:00,25,30.02,20
45,2020-08-19 19:00:00,24,29.99,19
46,2020-08-19 20:00:00,23,29.97,20
47,2020-08-19 21:00:00,23,29.96,20
48,2020-08-19 22:00:00,21,29.97,20
49,2020-08-19 23:00:00,22,29.98,20
50,2020-08-20 00:00:00,21,30.0,20
51,2020-08-20 01:00:00,21,30.02,20
52,2020-08-20 02:00:00,21,30.04,20
53,2020-08-20 03:00:00,21,30.08,20
54,2020-08-20 04:00:00,21,30.09,20
55,2020-08-20 05:00:00,20,30.07,19
56,2020-08-20 06:00:00,20,30.05,19
57,2020-08-20 07:00:00,20,30.05,19
58,2020-08-20 08:00:00,20,30.04,19
59,2020-08-20 09:00:00,20,30.04,20
60,2020-08-20 10:00:00,20,30.03,20
61,2020-08-20 10:30:00,20,30.05,20
62,2020-08-20 11:00:00,20,30.06,20
63,2020-08-20 12:00:00,20,30.06,20
64,2020-08-20 14:00:00,21,30.08,20
65,2020-08-20 15:00:00,23,30.08,21
66,2020-08-20 16:00:00,25,30.06,22
67,2020-08-20 17:00:00,27,30.04,23
68,2020-08-20 18:00:00,29,29.99,21
69,2020-08-20 19:00:00,29,29.95,20
70,2020-08-20 20:00:00,30,29.9,20
71,2020-08-20 21:00:00,31,29.87,19
72,2020-08-20 22:00:00,29,29.88,19
73,2020-08-20 23:00:00,27,29.91,19
74,2020-08-21 00:00:00,25,29.93,18
