,D,T,P,DP
0,2020-08-18 11:00:00,27,29.8,27
1,2020-08-18 12:00:00,28,29.81,27
2,2020-08-18 13:00:00,29,29.82,27
3,2020-08-18 14:00:00,29,29.84,27
4,2020-08-18 15:00:00,30,29.83,27
5,2020-08-18 16:00:00,30,29.84,27
6,2020-08-18 17:00:00,31,29.83,27
7,2020-08-18 18:00:00,31,29.81,27
8,2020-08-18 19:00:00,32,29.79,26
9,2020-08-18 20:00:00,31,29.76,26
10,2020-08-18 21:00:00,30,29.76,26
11,2020-08-18 22:00:00,30,29.77,27
12,2020-08-18 23:00:00,30,29.78,27
13,2020-08-19 11:00:00,27,29.79,26
14,2020-08-19 12:00:00,28,29.81,26
15,2020-08-19 12:35:00,27,29.83,26
16,2020-08-19 13:00:00,27,29.83,27
17,2020-08-19 13:25:00,28,29.82,26
18,2020-08-19 14:00:00,29,29.82,26
19,2020-08-19 15:00:00,30,29.84,25
20,2020-08-19 16:00:00,30,29.84,26
21,2020-08-19 17:00:00,31,29.83,25
22,2020-08-19 18:00:00,30,29.79,26
23,2020-08-19 19:00:00,29,29.77,26
24,2020-08-19 20:00:00,29,29.77,26
25,2020-08-19 21:00:00,29,29.77,25
26,2020-08-19 22:00:00,29,29.78,27
27,2020-08-19 23:00:00,28,29.79,26
28,2020-08-20 11:00:00,25,29.85,25
29,2020-08-20 12:00:00,26,29.84,25
30,2020-08-20 13:00:00,27,29.87,26
31,2020-08-20 14:00:00,29,29.89,26
32,2020-08-20 15:00:00,29,29.88,26
33,2020-08-20 16:00:00,30,29.89,25
34,2020-08-20 17:00:00,31,29.88,25
35,2020-08-20 18:00:00,31,29.85,25
36,2020-08-20 19:00:00,31,29.83,25
37,2020-08-20 20:00:00,29,29.81,25
38,2020-08-20 21:00:00,29,29.8,25
39,2020-08-20 22:00:00,29,29.8,25
40,2020-08-20 23:00:00,29,29.81,25
