,Fecha,Latitud,Longitud,altura,V_radial,Reflectividad
0,2020-08-18_00:00:57,2.164,-78.994,8159.4,0.000,14.000
1,2020-08-18_00:00:57,2.245,-78.994,8124.4,0.000,16.204
2,2020-08-18_00:00:57,2.325,-78.994,8092.4,0.000,15.056
3,2020-08-18_00:00:57,2.245,-78.914,7799.1,-0.015,15.382
4,2020-08-18_00:00:57,2.325,-78.914,7775.1,0.000,16.828
5,2020-08-18_00:00:57,2.406,-78.914,7764.8,0.000,15.551
6,2020-08-18_00:00:57,1.436,-78.833,11803.5,0.000,12.750
7,2020-08-18_00:00:57,2.164,-78.833,10404.9,0.000,13.875
8,2020-08-18_00:00:57,2.245,-78.833,10366.8,-2.046,14.538
9,2020-08-18_00:00:57,2.325,-78.833,7460.0,2.394,14.873
10,2020-08-18_00:00:57,2.325,-78.833,10277.2,-2.962,14.609
11,2020-08-18_00:00:57,2.406,-78.833,7447.3,3.112,16.482
12,2020-08-18_00:00:57,2.406,-78.833,10264.2,-2.789,14.131
13,2020-08-18_00:00:57,2.487,-78.833,7437.3,4.726,16.042
14,2020-08-18_00:00:57,2.568,-78.833,7439.8,5.351,13.529
15,2020-08-18_00:00:57,1.436,-78.752,11414.4,0.000,15.544
16,2020-08-18_00:00:57,1.517,-78.752,11186.6,-1.175,15.042
17,2020-08-18_00:00:57,1.598,-78.752,7965.2,0.000,15.927
18,2020-08-18_00:00:57,1.679,-78.752,10787.3,-3.856,14.091
19,2020-08-18_00:00:57,2.164,-78.752,7274.5,3.929,14.398
20,2020-08-18_00:00:57,2.164,-78.752,10013.0,-0.048,15.154
21,2020-08-18_00:00:57,2.245,-78.752,7204.6,3.075,16.803
22,2020-08-18_00:00:57,2.245,-78.752,9917.3,-0.342,16.472
23,2020-08-18_00:00:57,2.325,-78.752,7178.3,3.720,15.940
24,2020-08-18_00:00:57,2.325,-78.752,9876.9,-2.184,16.217
25,2020-08-18_00:00:57,2.406,-78.752,7152.3,2.658,17.224
26,2020-08-18_00:00:57,2.406,-78.752,9844.9,-2.990,14.828
27,2020-08-18_00:00:57,2.487,-78.752,7141.0,2.819,17.129
28,2020-08-18_00:00:57,2.568,-78.752,7142.6,3.666,15.065
29,2020-08-18_00:00:57,1.598,-78.671,7688.0,-4.358,16.263
30,2020-08-18_00:00:57,1.598,-78.671,10597.5,-4.429,16.210
31,2020-08-18_00:00:57,1.679,-78.671,7549.2,-1.746,16.764
32,2020-08-18_00:00:57,1.679,-78.671,10403.0,-3.111,14.992
33,2020-08-18_00:00:57,2.164,-78.671,9583.8,-0.026,16.136
34,2020-08-18_00:00:57,2.245,-78.671,9528.4,-1.011,17.174
35,2020-08-18_00:00:57,2.325,-78.671,6904.8,2.338,18.045
36,2020-08-18_00:00:57,2.325,-78.671,9489.2,-3.186,17.279
37,2020-08-18_00:00:57,2.406,-78.671,6861.6,0.552,16.802
38,2020-08-18_00:00:57,2.406,-78.671,9427.0,-4.042,16.351
39,2020-08-18_00:00:57,2.487,-78.671,6855.9,0.339,16.696
40,2020-08-18_00:00:57,2.487,-78.671,9425.3,-2.710,13.965
41,2020-08-18_00:00:57,2.568,-78.671,6844.7,-0.066,15.159
42,2020-08-18_00:00:57,1.436,-78.590,10652.6,-1.653,15.186
43,2020-08-18_00:00:57,1.517,-78.590,7570.5,-6.007,13.395
44,2020-08-18_00:00:57,1.517,-78.590,10428.8,-1.521,15.993
45,2020-08-18_00:00:57,1.598,-78.590,7419.6,-5.535,14.448
46,2020-08-18_00:00:57,1.598,-78.590,10220.5,-3.753,16.361
47,2020-08-18_00:00:57,1.679,-78.590,10029.1,-2.248,16.375
48,2020-08-18_00:00:57,1.759,-78.590,7149.7,0.000,14.814
49,2020-08-18_00:00:57,1.759,-78.590,9837.0,-2.192,14.974
50,2020-08-18_00:00:57,2.083,-78.590,9286.4,0.000,12.125
51,2020-08-18_00:00:57,2.164,-78.590,9215.5,-0.230,17.040
52,2020-08-18_00:00:57,2.245,-78.590,6658.1,0.699,17.283
53,2020-08-18_00:00:57,2.245,-78.590,9139.4,-1.413,18.453
54,2020-08-18_00:00:57,2.325,-78.590,6610.9,-0.101,20.364
55,2020-08-18_00:00:57,2.325,-78.590,9064.4,-3.283,18.926
56,2020-08-18_00:00:57,2.406,-78.590,6594.0,-0.428,18.247
57,2020-08-18_00:00:57,2.406,-78.590,9041.9,-4.169,18.872
58,2020-08-18_00:00:57,2.487,-78.590,6580.3,-0.454,17.506
59,2020-08-18_00:00:57,2.487,-78.590,9028.9,-4.271,15.389
60,2020-08-18_00:00:57,2.568,-78.590,6583.3,-1.089,18.950
61,2020-08-18_00:00:57,2.568,-78.590,9028.9,-4.092,12.988
62,2020-08-18_00:00:57,2.649,-78.590,6585.9,0.000,17.493
63,2020-08-18_00:00:57,1.274,-78.509,7845.6,-0.407,16.462
64,2020-08-18_00:00:57,1.436,-78.509,7488.6,0.000,13.000
65,2020-08-18_00:00:57,1.436,-78.509,10321.0,-5.089,15.831
66,2020-08-18_00:00:57,1.517,-78.509,7322.5,-5.823,13.521
67,2020-08-18_00:00:57,1.517,-78.509,10086.1,-3.110,16.726
68,2020-08-18_00:00:57,1.598,-78.509,7164.5,-5.771,13.734
69,2020-08-18_00:00:57,1.598,-78.509,9858.7,-5.616,16.841
70,2020-08-18_00:00:57,1.679,-78.509,9665.6,-3.093,18.763
71,2020-08-18_00:00:57,1.759,-78.509,6891.7,0.000,15.522
72,2020-08-18_00:00:57,1.759,-78.509,9473.8,-2.928,15.398
73,2020-08-18_00:00:57,1.840,-78.509,9318.9,-4.380,12.667
74,2020-08-18_00:00:57,2.002,-78.509,9043.6,-0.021,12.545
75,2020-08-18_00:00:57,2.083,-78.509,8912.3,-0.776,13.309
76,2020-08-18_00:00:57,2.164,-78.509,6437.4,-1.451,12.885
77,2020-08-18_00:00:57,2.164,-78.509,8816.7,-0.020,16.160
