
80028 SKBQ Ernesto Cortissoz Observations at 12Z 18 Aug 2020

-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
 1008.0     14   25.6   24.6     94  19.78     60      4  298.1  355.8  301.6
 1000.0     88   25.4   23.7     90  18.86     85      6  298.6  353.7  301.9
  942.0    613   22.2   21.5     96  17.45    110     10  300.4  351.8  303.6
  935.0    678   21.8   21.2     96  17.28    112     10  300.7  351.6  303.8
  925.0    772   22.2   20.7     91  16.92    115     11  302.0  352.2  305.1
  923.0    791   22.4   20.6     90  16.85    117     11  302.4  352.4  305.4
  904.0    972   21.8   19.2     86  15.80    135     10  303.5  350.7  306.4
  869.0   1316   20.5   16.7     79  13.94    115     12  305.7  347.7  308.2
  860.0   1407   20.2   16.0     77  13.48     93     12  306.3  347.0  308.7
  855.0   1457   20.6   15.6     73  13.21     80     12  307.2  347.3  309.6
  850.0   1508   20.2   15.3     73  13.03     75     12  307.3  346.9  309.7
  813.0   1890   17.4   14.2     81  12.66    100     13  308.3  346.9  310.6
  785.0   2190   15.2   13.3     88  12.38    136     12  309.0  346.9  311.3
  774.0   2310   15.3   11.2     76  10.88    150     11  310.3  343.9  312.4
  768.0   2376   15.3   10.0     70  10.13    155     10  311.1  342.5  313.0
  760.0   2465   15.4    8.4     63   9.18    129      9  312.1  340.7  313.8
  744.0   2645   14.5    5.4     54   7.62     75      7  313.0  337.0  314.4
  730.0   2805   13.7    2.7     47   6.42     65     10  313.8  334.3  315.0
  715.0   2980   12.8   -0.2     41   5.30     67     15  314.7  331.8  315.7
  700.0   3158   11.8    0.8     47   5.83     70     21  315.5  334.3  316.6
  688.0   3299   10.9    0.4     48   5.75     65     22  316.0  334.6  317.1
  665.0   3577    9.0   -0.4     52   5.60     85     19  317.1  335.2  318.1
  644.0   3840    7.3   -1.2     55   5.46     65     16  318.0  335.8  319.0
  593.0   4514    2.8   -3.2     65   5.11     60     11  320.4  337.2  321.4
  567.0   4880    0.3   -4.3     71   4.93     95      7  321.6  338.0  322.6
  546.0   5189   -1.7   -5.2     77   4.78    110     12  322.7  338.6  323.6
  542.0   5249   -2.1   -5.4     78   4.75    101     12  322.9  338.7  323.8
  535.0   5353   -1.5   -6.9     67   4.29     85     12  324.8  339.3  325.7
  533.0   5383   -1.3   -7.3     64   4.17     86     12  325.4  339.5  326.2
  500.0   5890   -4.7   -7.7     80   4.31    100     14  327.2  341.9  328.1
  473.0   6325   -8.1   -9.7     88   3.89    103     12  328.3  341.6  329.0
  453.0   6660   -9.8  -14.1     71   2.85    105     10  330.2  340.2  330.7
  450.0   6711  -10.1  -14.8     68   2.71    107     10  330.5  340.0  331.0
  403.0   7554  -15.9  -17.8     85   2.36    148     10  333.5  342.0  334.0
  401.0   7591  -16.3  -19.3     77   2.08    150     10  333.5  341.0  333.9
  400.0   7610  -16.5  -20.1     74   1.95    150     10  333.5  340.5  333.9
  385.0   7897  -18.3  -20.9     80   1.89    144      9  334.8  341.7  335.1
  351.0   8573  -22.4  -27.1     66   1.19    130      7  338.2  342.7  338.4
  350.0   8594  -22.5  -27.3     65   1.17    130      7  338.3  342.8  338.5
  316.0   9342  -27.0  -34.1     51   0.68    120     10  342.0  344.7  342.2
  303.0   9649  -28.9  -36.9     46   0.54    124     13  343.6  345.7  343.7
  300.0   9720  -29.5  -37.5     46   0.51    125     14  343.7  345.8  343.8
  298.0   9767  -29.9  -37.9     45   0.49    125     15  343.8  345.8  343.9
  279.0  10230  -33.6  -42.3     41   0.33    105     17  345.0  346.4  345.0
  268.0  10512  -35.9  -44.9     39   0.26    107     19  345.6  346.7  345.7
  252.0  10935  -39.6  -46.9     46   0.22    110     21  346.2  347.2  346.3
  250.0  10990  -40.1  -47.1     47   0.22    110     21  346.3  347.2  346.4
  240.0  11267  -42.5  -49.5     46   0.18     95     20  346.8  347.6  346.9
  239.0  11295  -42.7  -49.7     46   0.17     95     20  346.9  347.6  346.9
  215.0  12000  -48.7  -50.6     80   0.17    101     25  348.2  349.0  348.2
  212.0  12092  -49.5  -54.4     56   0.11    102     25  348.4  348.9  348.4
  204.0  12342  -51.9  -56.9     55   0.09    104     27  348.4  348.8  348.5
  200.0  12470  -53.1  -57.5     59   0.08    105     28  348.5  348.9  348.5
  185.0  12967  -57.7  -61.6     61   0.05    105     29  348.9  349.2  348.9
  174.0  13349  -60.8  -65.8     51   0.03    105     30  350.0  350.1  350.0
  165.0  13680  -63.5  -69.5     44   0.02    115     25  350.8  350.9  350.8
  161.0  13830  -64.9  -72.9     32   0.01    111     24  350.9  351.0  350.9
  159.0  13906  -64.5  -76.5     18   0.01    110     24  352.9  352.9  352.9
  154.0  14100  -65.9  -76.8     20   0.01    105     23  353.6  353.7  353.6
  150.0  14260  -67.1  -77.1     23   0.01    115     19  354.3  354.3  354.3
  145.0  14462  -68.2  -79.5     18   0.01    125     19  355.9  355.9  355.9
  135.0  14889  -70.5  -84.5     11   0.00    120     16  359.1  359.1  359.1
  132.0  15020  -71.5  -84.2     14   0.00    100     13  359.7  359.7  359.7
  131.0  15064  -71.8  -84.1     14   0.00     85     15  359.9  359.9  359.9
  115.0  15823  -77.3  -82.2     46   0.00     92     30  363.3  363.4  363.3
  110.0  16073  -79.2  -84.0     45   0.00     95     35  364.4  364.4  364.4
  101.0  16555  -82.9  -87.6     45   0.00    105     21  366.3  366.3  366.3
  100.0  16610  -82.9  -87.7     44   0.00    110     19  367.3  367.3  367.3
   97.8  16735  -82.5  -88.5     36   0.00    106     22  370.4  370.4  370.4
   90.4  17188  -72.5  -88.5      7   0.00     91     31  398.7  398.7  398.7
   90.0  17214  -72.5  -88.5      7   0.00     90     32  399.1  399.2  399.1
   88.0  17346  -72.8  -88.6      8   0.00     95     28  401.3  401.3  401.3
   84.0  17619  -73.2  -88.9      8   0.00     60     24  405.7  405.7  405.7
   78.0  18055  -73.9  -89.2      8   0.00     80     27  412.9  412.9  412.9
   75.0  18285  -74.3  -89.4      8   0.00     65     28  416.8  416.8  416.8
   73.6  18396  -74.5  -89.5      8   0.00     74     27  418.6  418.6  418.6
   71.0  18607  -73.9  -89.6      7   0.00     90     24  424.2  424.2  424.2
   70.0  18690  -73.7  -89.7      7   0.00     85     26  426.4  426.4  426.4
   68.0  18859  -74.1  -90.6      6   0.00     70     34  429.1  429.1  429.1
   65.9  19043  -74.5  -91.5      6   0.00     69     39  432.1  432.1  432.1
   63.3  19280  -70.5  -91.5      3   0.00     67     46  445.9  445.9  445.9
   61.0  19503  -69.5  -91.9      3   0.00     65     52  452.9  452.9  452.9
   57.0  19911  -67.6  -92.7      2   0.00     80     46  466.0  466.0  466.0
   52.8  20372  -65.5  -93.5      1   0.00     67     26  481.2  481.2  481.2
   52.0  20467  -63.4  -93.6      1   0.00     65     22  488.2  488.2  488.2
   51.0  20586  -60.7  -93.7      1   0.00     90     24  497.2  497.2  497.2
   50.0  20710  -60.3  -93.3      1   0.00     90     22  500.9  501.0  500.9
   48.4  20913  -59.9  -92.9      1   0.00    102     13  506.6  506.6  506.6
   48.0  20964  -60.2  -92.9      1   0.00    105     11  507.0  507.0  507.0
   47.0  21095  -61.1  -92.9      1   0.00     90      7  507.9  508.0  507.9
   45.0  21364  -62.9  -92.9      1   0.00     95     14  510.0  510.0  510.0
   42.0  21789  -63.0  -93.3      1   0.00    125     14  520.0  520.0  520.0
   40.0  22089  -63.0  -93.5      1   0.00    115     23  527.1  527.2  527.1
   38.0  22405  -63.0  -93.8      1   0.00    150     10  534.8  534.8  534.8
   37.0  22569  -63.1  -94.0      1   0.00    125      7  538.8  538.9  538.8
   36.0  22737  -63.1  -94.1      1   0.00     70     12  543.0  543.0  543.0
   34.0  23093  -58.9  -93.7      0   0.00     75     38  563.0  563.0  563.0
   33.9  23111  -58.7  -93.7      0   0.00     76     38  564.0  564.0  564.0
   33.0  23280  -58.5  -93.5      0   0.00     85     33  568.9  568.9  568.9
   31.0  23674  -58.0  -93.0      0   0.00    140     16  580.6  580.6  580.6
   30.0  23880  -57.7  -92.7      0   0.00    105      9  586.8  586.8  586.8
   29.0  24094  -57.8  -92.8      0   0.00     55     10  592.2  592.2  592.2
   28.0  24316  -57.9  -92.9      0   0.00    100     23  597.9  597.9  597.9
   27.9  24339  -57.9  -92.9      0   0.00    100     23  598.5  598.5  598.5
